id,value,style,source,target,type
25,Complete my submissions.,ellipse,null,null,process
200,Performance Impact,shape=partialRectangle,null,null,data_base
201,Flexfield,shape=partialRectangle,null,null,data_base
202,Fabs,shape=partialRectangle,null,null,data_base
203,Production,shape=partialRectangle,null,null,data_base
204,Date,shape=partialRectangle,null,null,data_base
205,Update Date,shape=partialRectangle,null,null,data_base
206,Time,shape=partialRectangle,null,null,data_base
207,File,shape=partialRectangle,null,null,data_base
208,Wrong Extension,shape=partialRectangle,null,null,data_base
209,Fabs Go\nLive,shape=partialRectangle,null,null,data_base
210,Submission,shape=partialRectangle,null,null,data_base
211,Zero,shape=partialRectangle,null,null,data_base
212,Datum,shape=partialRectangle,null,null,data_base
213,Sam,shape=partialRectangle,null,null,data_base
214,Loan Record,shape=partialRectangle,null,null,data_base
215,Blank,shape=partialRectangle,null,null,data_base
216,Schema,shape=partialRectangle,null,null,data_base
217,Maximum Length,shape=partialRectangle,null,null,data_base
218,Header,shape=partialRectangle,null,null,data_base
219,Atom Feed,shape=partialRectangle,null,null,data_base
220,Correct Format,shape=partialRectangle,null,null,data_base
221,Error,shape=partialRectangle,null,null,data_base
222,Zip,shape=partialRectangle,null,null,data_base
223,Fabs Page,shape=partialRectangle,null,null,data_base
224,Fsrs Record,shape=partialRectangle,null,null,data_base
225,Data Element,shape=partialRectangle,null,null,data_base
226,Quotation Mark,shape=partialRectangle,null,null,data_base
227,Assistance,shape=partialRectangle,null,null,data_base
228,Fabs,shape=partialRectangle,null,null,data_base
229,Agency User,rounded=0,null,null,external_entity
230,Include A Large Number Of Flexfields Without Performance Impact,ellipse,null,null,process
231,Show Updated Date,ellipse,null,null,process
232,Show Time,ellipse,null,null,process
233,Receive A More Helpful File Level Error,ellipse,null,null,process
234,Upload A File With The Wrong Extension,ellipse,null,null,process
235,"Provided With All Financial, Historical Assistance Data For Fabs Go Live",ellipse,null,null,process
236,Provided With Historical Fpds Data,ellipse,null,null,process
237,See,ellipse,null,null,process
238,Understand File Level Errors,ellipse,null,null,process
239,Ensure,ellipse,null,null,process
240,Accept Zero For Loan Records,ellipse,null,null,process
241,Blank,ellipse,null,null,process
242,Accept,ellipse,null,null,process
243,Derived Properly Data Elements,ellipse,null,null,process
244,Legalentityaddressline3 Match Schema,ellipse,null,null,process
245,Use The Schema Headers In Fabs File,ellipse,null,null,process
246,Map The Federalactionobligation Properly To The Atom Feed,ellipse,null,null,process
247,Get File F In The Correct Format,ellipse,null,null,process
248,Leave Off The Last Digits Of The Zip Without An Error,ellipse,null,null,process
249,Know,ellipse,null,null,process
250,Navigate To Fabs Pages,ellipse,null,null,process
251,Navigate To,ellipse,null,null,process
252,Dabs,ellipse,null,null,process
253,Submit Data Elements Quotation Marks,ellipse,null,null,process
255,,endArrow=classic,229,230,endArrow=classic
256,,endArrow=classic,229,231,endArrow=classic
257,,endArrow=classic,229,232,endArrow=classic
258,,endArrow=classic,229,233,endArrow=classic
259,,endArrow=classic,229,234,endArrow=classic
260,,endArrow=classic,229,235,endArrow=classic
261,,endArrow=classic,229,236,endArrow=classic
262,,endArrow=classic,229,238,endArrow=classic
263,,endArrow=classic,229,240,endArrow=classic
264,,endArrow=classic,229,242,endArrow=classic
265,,endArrow=classic,229,243,endArrow=classic
266,,endArrow=classic,229,244,endArrow=classic
267,,endArrow=classic,229,245,endArrow=classic
268,,endArrow=classic,229,246,endArrow=classic
269,,endArrow=classic,229,247,endArrow=classic
270,,endArrow=classic,229,248,endArrow=classic
271,,endArrow=classic,229,250,endArrow=classic
272,,endArrow=classic,229,251,endArrow=classic
273,,endArrow=classic,229,253,endArrow=classic
274,Flexfield,endArrow=classic,230,201,endArrow=classic
275,Performance Impact,endArrow=classic,230,200,endArrow=classic
276,Update Date,endArrow=classic,231,205,endArrow=classic
277,Time,endArrow=classic,232,206,endArrow=classic
278,File,endArrow=classic,233,207,endArrow=classic
279,Error,endArrow=classic,233,221,endArrow=classic
280,,endArrow=classic,234,233,endArrow=classic
281,File,endArrow=classic,234,207,endArrow=classic
282,Wrong Extension,endArrow=classic,234,208,endArrow=classic
283,Fabs Go\nLive,endArrow=classic,235,209,endArrow=classic
284,Datum,endArrow=classic,235,212,endArrow=classic
285,Datum,endArrow=classic,236,212,endArrow=classic
286,Error,endArrow=classic,238,221,endArrow=classic
287,Zero,endArrow=classic,240,211,endArrow=classic
288,Loan Record,endArrow=classic,240,214,endArrow=classic
289,,endArrow=classic,242,241,endArrow=classic
290,Blank,endArrow=classic,242,215,endArrow=classic
291,Data Element,endArrow=classic,243,225,endArrow=classic
292,Schema,endArrow=classic,244,216,endArrow=classic
293,Flexfield,endArrow=classic,244,201,endArrow=classic
294,Header,endArrow=classic,245,218,endArrow=classic
295,Schema,endArrow=classic,245,216,endArrow=classic
296,File,endArrow=classic,245,207,endArrow=classic
297,Atom Feed,endArrow=classic,246,219,endArrow=classic
298,Flexfield,endArrow=classic,246,201,endArrow=classic
299,Correct Format,endArrow=classic,247,220,endArrow=classic
300,Zip,endArrow=classic,248,222,endArrow=classic
301,Error,endArrow=classic,248,221,endArrow=classic
302,Fabs Page,endArrow=classic,250,223,endArrow=classic
303,,endArrow=classic,251,252,endArrow=classic
304,Data Element,endArrow=classic,253,225,endArrow=classic
310,Fabs,endArrow=classic,235,202,endArrow=classic
336,Date,endArrow=classic,231,204,endArrow=classic
456,Quotation Mark,endArrow=classic,253,226,endArrow=classic
462,Assistance,endArrow=classic,235,227,endArrow=classic
468,Fabs,endArrow=classic,235,228,endArrow=classic
1000,,endArrow=classic,248,25,endArrow=classic
1001,Submissions,rounded=0,null,null,external_entity
1002,Submissions,endArrow=classic,25,1001,endArrow=classic
