id,value,style,source,target,type
26,Troubleshoot issues with particular submissions and functions.,ellipse,null,null,process
200,Fabs Submission,shape=partialRectangle,null,null,data_base
201,Update,shape=partialRectangle,null,null,data_base
202,Fundingagencycode,shape=partialRectangle,null,null,data_base
203,Fabs Sample\nFile,shape=partialRectangle,null,null,data_base
204,Historical Fabs,shape=partialRectangle,null,null,data_base
205,Datum,shape=partialRectangle,null,null,data_base
206,Frec Derivation,shape=partialRectangle,null,null,data_base
207,Frec Paradigm,shape=partialRectangle,null,null,data_base
208,Validation,shape=partialRectangle,null,null,data_base
209,Gap,shape=partialRectangle,null,null,data_base
210,Duplicate Transaction,shape=partialRectangle,null,null,data_base
211,Publishing Decision,shape=partialRectangle,null,null,data_base
212,Database,shape=partialRectangle,null,null,data_base
213,User,shape=partialRectangle,null,null,data_base
214,"Publish ,\nNew Datum",shape=partialRectangle,null,null,data_base
215,Existent Record,shape=partialRectangle,null,null,data_base
216,Case,shape=partialRectangle,null,null,data_base
217,Agency,shape=partialRectangle,null,null,data_base
218,Fabs,shape=partialRectangle,null,null,data_base
219,D File,shape=partialRectangle,null,null,data_base
220,Good Way,shape=partialRectangle,null,null,data_base
221,Fabs Group,shape=partialRectangle,null,null,data_base
222,Time,shape=partialRectangle,null,null,data_base
223,Broker Application,shape=partialRectangle,null,null,data_base
224,Rule,shape=partialRectangle,null,null,data_base
225,Gtas Window,shape=partialRectangle,null,null,data_base
226,Feed,shape=partialRectangle,null,null,data_base
227,Developer,rounded=0,null,null,external_entity
228,Log,ellipse,null,null,process
229,Add The Updates On A Fabs Submission To Modified,ellipse,null,null,process
230,Cached Managed,ellipse,null,null,process
231,Remove Fundingagencycode,ellipse,null,null,process
232,Update The Fabs Sample File,ellipse,null,null,process
233,Indexed,ellipse,null,null,process
234,Include The Frec Derivations,ellipse,null,null,process
235,Provide Fabs Groups Function Under The Frec Paradigm,ellipse,null,null,process
236,Deal With The Gap Between The Publishing Decision,ellipse,null,null,process
237,Prevent Duplicate Transactions Published,ellipse,null,null,process
238,Deal With The Time Gap Between Validation,ellipse,null,null,process
239,Access Broker Application Data,ellipse,null,null,process
240,Update The Validation Broker Rule Table,ellipse,null,null,process
241,Account For The Rule Updates In Db-2213,ellipse,null,null,process
242,Add The Gtas Window Data To The Database,ellipse,null,null,process
243,"Prevent Users From Publishing, Double Fabs Submissions Refreshing",ellipse,null,null,process
244,Correct Existent Records,ellipse,null,null,process
245,Ensure,ellipse,null,null,process
246,Delete Existent Records,ellipse,null,null,process
247,Clarify To Users,ellipse,null,null,process
248,Determine,ellipse,null,null,process
249,Include Fpds,ellipse,null,null,process
250,"Include Both Historical, Data, Extracted Feed Data",ellipse,null,null,process
251,Load Historical Fpds Data,ellipse,null,null,process
252,Determine The Best Way,ellipse,null,null,process
254,,endArrow=classic,227,229,endArrow=classic
255,,endArrow=classic,227,230,endArrow=classic
256,,endArrow=classic,227,231,endArrow=classic
257,,endArrow=classic,227,232,endArrow=classic
258,,endArrow=classic,227,233,endArrow=classic
259,,endArrow=classic,227,234,endArrow=classic
260,,endArrow=classic,227,235,endArrow=classic
261,,endArrow=classic,227,236,endArrow=classic
262,,endArrow=classic,227,237,endArrow=classic
263,,endArrow=classic,227,239,endArrow=classic
264,,endArrow=classic,227,240,endArrow=classic
265,,endArrow=classic,227,241,endArrow=classic
266,,endArrow=classic,227,242,endArrow=classic
267,,endArrow=classic,227,243,endArrow=classic
268,,endArrow=classic,227,244,endArrow=classic
269,,endArrow=classic,227,245,endArrow=classic
270,,endArrow=classic,227,246,endArrow=classic
271,,endArrow=classic,227,247,endArrow=classic
272,,endArrow=classic,227,249,endArrow=classic
273,,endArrow=classic,227,250,endArrow=classic
274,,endArrow=classic,227,251,endArrow=classic
275,,endArrow=classic,227,252,endArrow=classic
276,Update,endArrow=classic,229,201,endArrow=classic
277,Fabs Submission,endArrow=classic,229,200,endArrow=classic
278,Fundingagencycode,endArrow=classic,231,202,endArrow=classic
279,,endArrow=classic,232,231,endArrow=classic
280,Fabs Sample\nFile,endArrow=classic,232,203,endArrow=classic
281,Frec Derivation,endArrow=classic,234,206,endArrow=classic
282,Fabs Group,endArrow=classic,235,221,endArrow=classic
283,Frec Paradigm,endArrow=classic,235,207,endArrow=classic
284,Gap,endArrow=classic,236,209,endArrow=classic
285,Publishing Decision,endArrow=classic,236,211,endArrow=classic
286,Duplicate Transaction,endArrow=classic,237,210,endArrow=classic
287,Validation,endArrow=classic,238,208,endArrow=classic
288,Gap,endArrow=classic,238,209,endArrow=classic
289,Datum,endArrow=classic,239,205,endArrow=classic
290,,endArrow=classic,240,241,endArrow=classic
291,Update,endArrow=classic,241,201,endArrow=classic
292,Fundingagencycode,endArrow=classic,241,202,endArrow=classic
293,Database,endArrow=classic,242,212,endArrow=classic
294,Datum,endArrow=classic,242,205,endArrow=classic
295,User,endArrow=classic,243,213,endArrow=classic
296,Fabs Submission,endArrow=classic,243,200,endArrow=classic
297,Existent Record,endArrow=classic,244,215,endArrow=classic
298,,endArrow=classic,245,244,endArrow=classic
299,,endArrow=classic,245,246,endArrow=classic
300,Existent Record,endArrow=classic,246,215,endArrow=classic
301,User,endArrow=classic,247,213,endArrow=classic
302,Fundingagencycode,endArrow=classic,249,202,endArrow=classic
303,Datum,endArrow=classic,250,205,endArrow=classic
304,Datum,endArrow=classic,251,205,endArrow=classic
305,,endArrow=classic,252,251,endArrow=classic
306,Good Way,endArrow=classic,252,220,endArrow=classic
385,Agency,endArrow=classic,231,217,endArrow=classic
387,Fabs,endArrow=classic,229,218,endArrow=classic
423,Time,endArrow=classic,238,222,endArrow=classic
435,Broker Application,endArrow=classic,239,223,endArrow=classic
448,Rule,endArrow=classic,240,224,endArrow=classic
463,Gtas Window,endArrow=classic,242,225,endArrow=classic
486,Feed,endArrow=classic,250,226,endArrow=classic
1000,,endArrow=classic,227,26,endArrow=classic
1001,Submissions,rounded=0,null,null,external_entity
1002,Submissions,endArrow=classic,26,1001,endArrow=classic
