id,value,style,source,target,type
200,Access,shape=partialRectangle,null,null,data_base
201,Environment,shape=partialRectangle,null,null,data_base
202,Fabs,shape=partialRectangle,null,null,data_base
203,Field,shape=partialRectangle,null,null,data_base
204,Follow Check,shape=partialRectangle,null,null,data_base
205,Test Feature,shape=partialRectangle,null,null,data_base
206,Test File,shape=partialRectangle,null,null,data_base
207,Tester,rounded=0,null,null,external_entity
208,Have Access To Test Features In Other Environments,ellipse,null,null,process
209,Staging,ellipse,null,null,process
210,Ensure,ellipse,null,null,process
212,,endArrow=classic,207,208,endArrow=classic
213,,endArrow=classic,207,209,endArrow=classic
214,Access,endArrow=classic,208,200,endArrow=classic
215,Test Feature,endArrow=classic,208,205,endArrow=classic
216,Environment,endArrow=classic,208,201,endArrow=classic
217,,endArrow=classic,209,208,endArrow=classic
