id,value,style,source,target,type
23,Receive a response to a request for a meeting or information that is a result of the preapplication assistance.,ellipse,null,null,process
24,Initiate a transaction with the county.,ellipse,null,null,process
25,Satisfy documentation requirements for my application.,ellipse,null,null,process
26,"Understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.",ellipse,null,null,process
27,Change information on an application.,ellipse,null,null,process
28,Preserve the history of draft proffer statements submitted by the applicant.,ellipse,null,null,process
29,Ensure all pre-hearing requirements are satisfied in time for the hearing.,ellipse,null,null,process
30,Ensure all pre-hearing requirements are satisfied and staff and applicant are ready for the hearing.,ellipse,null,null,process
31,"Ensure all plan review tasks are completed, results have been sent to the applicant and any downstream steps are initiated such has a final review or payment for permit issuance.",ellipse,null,null,process
32,Obtain occupancy.,ellipse,null,null,process
200,Preapplication Assistance,shape=partialRectangle,null,null,data_base
201,Application,shape=partialRectangle,null,null,data_base
202,Support Documentation,shape=partialRectangle,null,null,data_base
203,Fee,shape=partialRectangle,null,null,data_base
204,Transaction,shape=partialRectangle,null,null,data_base
205,Formal Response,shape=partialRectangle,null,null,data_base
206,Applicant,shape=partialRectangle,null,null,data_base
207,"Zoning ,\nRelated Permit",shape=partialRectangle,null,null,data_base
208,Requirement,shape=partialRectangle,null,null,data_base
209,Execution,shape=partialRectangle,null,null,data_base
210,Outcome,shape=partialRectangle,null,null,data_base
211,Plan,shape=partialRectangle,null,null,data_base
212,"Development ,\nRelated Permit",shape=partialRectangle,null,null,data_base
213,Building Development\nProject,shape=partialRectangle,null,null,data_base
214,Draft Proffer,shape=partialRectangle,null,null,data_base
215,Code Modification,shape=partialRectangle,null,null,data_base
216,Applicant,rounded=0,null,null,external_entity
217,Staff Member,rounded=0,null,null,external_entity
218,"Zoning , Staff Member",rounded=0,null,null,external_entity
219,"Plan , Review , Staff Member",rounded=0,null,null,external_entity
220,"Development , Staff Member",rounded=0,null,null,external_entity
221,Request Preapplication Assistance,ellipse,null,null,process
222,Submit Application,ellipse,null,null,process
223,Submit Supporting Documentation,ellipse,null,null,process
224,Pay Fee,ellipse,null,null,process
225,Check The Status Of A Transaction,ellipse,null,null,process
226,Modify Application,ellipse,null,null,process
227,Send A Formal Response To Applicant,ellipse,null,null,process
228,Track The Draft Proffers,ellipse,null,null,process
229,"Issue The Zoning, Related Permits",ellipse,null,null,process
230,Satisfy,ellipse,null,null,process
231,Hearing Requirements,ellipse,null,null,process
232,Hearing Execution,ellipse,null,null,process
233,Support,ellipse,null,null,process
234,Prepare,ellipse,null,null,process
235,Request A Plan Review Meeting,ellipse,null,null,process
236,Conduct A Plan Review With The Applicant,ellipse,null,null,process
237,Record The Outcome,ellipse,null,null,process
238,Resubmit Plans,ellipse,null,null,process
239,Review The Code Modifications The Applicant,ellipse,null,null,process
240,Track The Completion Of Required Plan Reviews,ellipse,null,null,process
241,"Issue A Development, Related Permit",ellipse,null,null,process
242,Complete Building Development Project,ellipse,null,null,process
244,,endArrow=classic,216,221,endArrow=classic
245,,endArrow=classic,216,222,endArrow=classic
246,,endArrow=classic,216,223,endArrow=classic
247,,endArrow=classic,216,224,endArrow=classic
