id,value,style,source,target,type
7,"Record work in process, outcome, and location-based information related to the plan(s).",ellipse,null,null,process
8,Export the needed information in the format i requested.,ellipse,null,null,process
9,Complete my required review of a plan set and/or application.,ellipse,null,null,process
200,Planning Study,shape=partialRectangle,null,null,data_base
201,"Planning ,\nRelated Report",shape=partialRectangle,null,null,data_base
202,Comprehensive Plan,shape=partialRectangle,null,null,data_base
203,Consistency,shape=partialRectangle,null,null,data_base
204,Plan Amendment,shape=partialRectangle,null,null,data_base
205,"Planning , Staff Member",rounded=0,null,null,external_entity
206,Conduct Planning Study,ellipse,null,null,process
207,Conduct Plan Amendments,ellipse,null,null,process
208,Track Planning Study,ellipse,null,null,process
209,Track Plan Amendments,ellipse,null,null,process
210,"Generate Planning, Related Reports",ellipse,null,null,process
211,Evaluate Consistency With The Comprehensive Plan,ellipse,null,null,process
213,,endArrow=classic,205,206,endArrow=classic
214,,endArrow=classic,205,207,endArrow=classic
215,,endArrow=classic,205,208,endArrow=classic
216,,endArrow=classic,205,209,endArrow=classic
217,,endArrow=classic,205,210,endArrow=classic
218,,endArrow=classic,205,211,endArrow=classic
219,Planning Study,endArrow=classic,206,200,endArrow=classic
220,Plan Amendment,endArrow=classic,207,204,endArrow=classic
221,Planning Study,endArrow=classic,208,200,endArrow=classic
222,Plan Amendment,endArrow=classic,209,204,endArrow=classic
223,"Planning ,\nRelated Report",endArrow=classic,210,201,endArrow=classic
224,Consistency,endArrow=classic,211,203,endArrow=classic
225,Comprehensive Plan,endArrow=classic,211,202,endArrow=classic
1000,,endArrow=classic,209,7,endArrow=classic
1001,Work,rounded=0,null,null,external_entity
1002,Work,endArrow=classic,7,1001,endArrow=classic
1003,Location-based information,rounded=0,null,null,external_entity
1004,Location-based information,endArrow=classic,7,1003,endArrow=classic
1005,,endArrow=classic,210,8,endArrow=classic
1006,Needed information,rounded=0,null,null,external_entity
1007,Needed information,endArrow=classic,8,1006,endArrow=classic
1008,,endArrow=classic,211,9,endArrow=classic
1009,Required review,rounded=0,null,null,external_entity
1010,Required review,endArrow=classic,9,1009,endArrow=classic
