id,value,style,source,target,type
200,Reporting,shape=partialRectangle,null,null,data_base
201,Custom Query,shape=partialRectangle,null,null,data_base
202,Report,shape=partialRectangle,null,null,data_base
203,"Common ,\nQuery Functionality",shape=partialRectangle,null,null,data_base
204,"County , Staff Member",rounded=0,null,null,external_entity
205,Create Outside Report Of Reporting,ellipse,null,null,process
206,Create A Custom Query,ellipse,null,null,process
207,"Create Outside Report Of The Common, Querying Functionality",ellipse,null,null,process
209,,endArrow=classic,204,205,endArrow=classic
210,,endArrow=classic,204,206,endArrow=classic
211,,endArrow=classic,204,207,endArrow=classic
212,Reporting,endArrow=classic,205,200,endArrow=classic
213,Report,endArrow=classic,205,202,endArrow=classic
214,Custom Query,endArrow=classic,206,201,endArrow=classic
215,Report,endArrow=classic,207,202,endArrow=classic
216,"Common ,\nQuery Functionality",endArrow=classic,207,203,endArrow=classic
