id,value,style,source,target,type
200,Primary Color,shape=partialRectangle,null,null,data_base
201,Brand Name,shape=partialRectangle,null,null,data_base
202,Icon,shape=partialRectangle,null,null,data_base
203,Frontend Javascript\nApp,shape=partialRectangle,null,null,data_base
204,Developer,rounded=0,null,null,external_entity
205,Customise Primary Color,ellipse,null,null,process
206,Customise The Brand Name Of All Frontend Javascript Apps,ellipse,null,null,process
207,Customise Icon,ellipse,null,null,process
209,,endArrow=classic,204,205,endArrow=classic
210,,endArrow=classic,204,206,endArrow=classic
211,,endArrow=classic,204,207,endArrow=classic
212,Primary Color,endArrow=classic,205,200,endArrow=classic
213,Brand Name,endArrow=classic,206,201,endArrow=classic
214,Frontend Javascript\nApp,endArrow=classic,206,203,endArrow=classic
215,Icon,endArrow=classic,207,202,endArrow=classic
