id,value,style,source,target,type
200,"Fiscal ,\nOpen Space",shape=partialRectangle,null,null,data_base
201,Blog,shape=partialRectangle,null,null,data_base
202,Project,shape=partialRectangle,null,null,data_base
203,App,shape=partialRectangle,null,null,data_base
204,"Openspending , Community Member",rounded=0,null,null,external_entity
205,"Have A Blog All Project In The Fiscal, Open Space",ellipse,null,null,process
206,Have A Blog Highlights Any,ellipse,null,null,process
207,Have An App,ellipse,null,null,process
209,,endArrow=classic,204,205,endArrow=classic
210,,endArrow=classic,204,206,endArrow=classic
211,,endArrow=classic,204,207,endArrow=classic
212,Project,endArrow=classic,205,202,endArrow=classic
213,"Fiscal ,\nOpen Space",endArrow=classic,205,200,endArrow=classic
214,Blog,endArrow=classic,205,201,endArrow=classic
215,Blog,endArrow=classic,206,201,endArrow=classic
216,App,endArrow=classic,207,203,endArrow=classic
