id,value,style,source,target,type
2,Perform management actions on any dataset.,ellipse,null,null,process
200,User,shape=partialRectangle,null,null,data_base
201,Dataset,shape=partialRectangle,null,null,data_base
202,View,shape=partialRectangle,null,null,data_base
203,Platform Administrator,rounded=0,null,null,external_entity
204,Have A View On All Datasets All Users,ellipse,null,null,process
206,,endArrow=classic,203,204,endArrow=classic
207,View,endArrow=classic,204,202,endArrow=classic
208,Dataset,endArrow=classic,204,201,endArrow=classic
209,User,endArrow=classic,204,200,endArrow=classic
1000,,endArrow=classic,204,2,endArrow=classic
1001,Dataset,endArrow=classic,2,201,endArrow=classic
