id,value,style,source,target,type
19,Start using the data for doing analysis and visualizations.,ellipse,null,null,process
20,Start using the data for doing analysis and visualizations.,ellipse,null,null,process
21,Start using the data in doing analysis and visualizations.,ellipse,null,null,process
22,Start using the data in doing analysis and visualizations.,ellipse,null,null,process
23,Start using the data in doing analysis and visualizations.,ellipse,null,null,process
24,Integrate data-packaged data with pipelines that use elasticsearch.,ellipse,null,null,process
25,Integrate data-packaged data with pipelines that use spss.,ellipse,null,null,process
26,Integrate data-packaged data with pipelines that use eprints.,ellipse,null,null,process
27,Integrate data-packaged data with pipelines that use mongo.,ellipse,null,null,process
28,Integrate data-packaged data with pipelines that use dat.,ellipse,null,null,process
29,Integrate data-packaged data with pipelines that use feather.,ellipse,null,null,process
30,Integrate data-packaged data with pipelines that use hdf5.,ellipse,null,null,process
31,Integrate data-packaged data with pipelines that use dspace.,ellipse,null,null,process
32,Use data packages with additional data analysis tools.,ellipse,null,null,process
200,Data Package,shape=partialRectangle,null,null,data_base
201,Node,shape=partialRectangle,null,null,data_base
202,Python,shape=partialRectangle,null,null,data_base
203,Second,shape=partialRectangle,null,null,data_base
204,Jquery Plugin,shape=partialRectangle,null,null,data_base
205,R,shape=partialRectangle,null,null,data_base
206,Analysis,shape=partialRectangle,null,null,data_base
207,Clojure,shape=partialRectangle,null,null,data_base
208,Julia,shape=partialRectangle,null,null,data_base
209,C++,shape=partialRectangle,null,null,data_base
210,Elasticsearch Integration,shape=partialRectangle,null,null,data_base
211,Spss Integration,shape=partialRectangle,null,null,data_base
212,Eprints Integration,shape=partialRectangle,null,null,data_base
213,Mongo Integration,shape=partialRectangle,null,null,data_base
214,Dat Integration,shape=partialRectangle,null,null,data_base
215,Feather Integration,shape=partialRectangle,null,null,data_base
216,Hdf5 Integration,shape=partialRectangle,null,null,data_base
217,Datum,shape=partialRectangle,null,null,data_base
218,Exist Wizard,shape=partialRectangle,null,null,data_base
219,Dspace Integration,shape=partialRectangle,null,null,data_base
220,Online Service,shape=partialRectangle,null,null,data_base
221,Update,shape=partialRectangle,null,null,data_base
222,Data Repository,shape=partialRectangle,null,null,data_base
223,Web Socket\nProtocol,shape=partialRectangle,null,null,data_base
224,Frictionless Data\nTool,shape=partialRectangle,null,null,data_base
225,Core,shape=partialRectangle,null,null,data_base
226,Data,shape=partialRectangle,null,null,data_base
227,Developer,rounded=0,null,null,external_entity
228,Get A Data Package Into Node,ellipse,null,null,process
229,Get A Data Package Into Python In Seconds,ellipse,null,null,process
230,Provided With A Jquery Plugin For Core Data Packages,ellipse,null,null,process
231,Do Exploratory Data Analysis In R,ellipse,null,null,process
232,Operationalize That Analysis In Python,ellipse,null,null,process
233,Get A Data Package Into Clojure In Seconds,ellipse,null,null,process
234,Get A Data Package Into Julia In Seconds,ellipse,null,null,process
235,Get A Data Package Into C++ In Seconds,ellipse,null,null,process
236,Provided With An Elasticsearch Integration,ellipse,null,null,process
237,Provided With An Spss Integration,ellipse,null,null,process
238,Provided With An Eprints Integration,ellipse,null,null,process
239,Provided With A Mongo Integration,ellipse,null,null,process
240,Provided With A Dat Integration,ellipse,null,null,process
241,Provided With Feather Integration,ellipse,null,null,process
242,Provided With Hdf5 Integration,ellipse,null,null,process
243,Customize An Existing Wizard For Specific Type Of Data,ellipse,null,null,process
244,Provided With An Dspace Integration,ellipse,null,null,process
245,Create A Web Socket Protocol For Frictionless Data Tools,ellipse,null,null,process
247,,endArrow=classic,227,228,endArrow=classic
248,,endArrow=classic,227,229,endArrow=classic
249,,endArrow=classic,227,230,endArrow=classic
250,,endArrow=classic,227,231,endArrow=classic
251,,endArrow=classic,227,232,endArrow=classic
252,,endArrow=classic,227,233,endArrow=classic
253,,endArrow=classic,227,234,endArrow=classic
254,,endArrow=classic,227,235,endArrow=classic
255,,endArrow=classic,227,236,endArrow=classic
256,,endArrow=classic,227,237,endArrow=classic
257,,endArrow=classic,227,238,endArrow=classic
258,,endArrow=classic,227,239,endArrow=classic
