id,value,style,source,target,type
200,Product Owner,shape=partialRectangle,null,null,data_base
201,Email,shape=partialRectangle,null,null,data_base
202,Content,shape=partialRectangle,null,null,data_base
203,Scrum Master,shape=partialRectangle,null,null,data_base
204,Site Editor,rounded=0,null,null,external_entity
205,"Edit The Content Of The Automatically Email To Certified, New Scrum Masters",ellipse,null,null,process
206,Edit The Content Of The Automatically Email To Product Owner,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,Content,endArrow=classic,205,202,endArrow=classic
211,Email,endArrow=classic,205,201,endArrow=classic
212,Scrum Master,endArrow=classic,205,203,endArrow=classic
213,Product Owner,endArrow=classic,206,200,endArrow=classic
214,Email,endArrow=classic,206,201,endArrow=classic
215,Content,endArrow=classic,206,202,endArrow=classic
