id,value,style,source,target,type
200,Application,shape=partialRectangle,null,null,data_base
201,Event,shape=partialRectangle,null,null,data_base
202,Course,shape=partialRectangle,null,null,data_base
203,Fee,shape=partialRectangle,null,null,data_base
204,Practitioner,shape=partialRectangle,null,null,data_base
205,Annual Fee,shape=partialRectangle,null,null,data_base
206,Trainer,shape=partialRectangle,null,null,data_base
207,Member,shape=partialRectangle,null,null,data_base
208,Training,shape=partialRectangle,null,null,data_base
209,Site,shape=partialRectangle,null,null,data_base
210,Listing,shape=partialRectangle,null,null,data_base
211,Site Administrator,rounded=0,null,null,external_entity
212,Practicing,ellipse,null,null,process
213,Read Training Application,ellipse,null,null,process
214,Read,ellipse,null,null,process
215,Reject Applications,ellipse,null,null,process
216,Approve Applications,ellipse,null,null,process
217,Edit Any Site Member Profile,ellipse,null,null,process
218,Create Event,ellipse,null,null,process
219,Create An Other Course Not Charged A Listing Fee,ellipse,null,null,process
220,Set The Listing Fee Per Other Course,ellipse,null,null,process
221,Set The Fee Per Event,ellipse,null,null,process
222,Set The Annual Fees For Members,ellipse,null,null,process
223,Set The Annual Fees For Practitioner,ellipse,null,null,process
224,Set The Annual Fees For Trainer,ellipse,null,null,process
226,,endArrow=classic,211,213,endArrow=classic
227,,endArrow=classic,211,216,endArrow=classic
228,,endArrow=classic,211,217,endArrow=classic
229,,endArrow=classic,211,218,endArrow=classic
230,,endArrow=classic,211,219,endArrow=classic
231,,endArrow=classic,211,220,endArrow=classic
232,,endArrow=classic,211,221,endArrow=classic
233,,endArrow=classic,211,222,endArrow=classic
234,,endArrow=classic,211,223,endArrow=classic
235,,endArrow=classic,211,224,endArrow=classic
236,Application,endArrow=classic,213,200,endArrow=classic
237,,endArrow=classic,214,212,endArrow=classic
238,Application,endArrow=classic,215,200,endArrow=classic
239,Application,endArrow=classic,216,200,endArrow=classic
240,Event,endArrow=classic,218,201,endArrow=classic
241,Course,endArrow=classic,219,202,endArrow=classic
242,Fee,endArrow=classic,219,203,endArrow=classic
243,Course,endArrow=classic,220,202,endArrow=classic
244,Fee,endArrow=classic,220,203,endArrow=classic
245,Fee,endArrow=classic,221,203,endArrow=classic
246,Event,endArrow=classic,221,201,endArrow=classic
247,Annual Fee,endArrow=classic,222,205,endArrow=classic
248,Member,endArrow=classic,222,207,endArrow=classic
249,Practitioner,endArrow=classic,223,204,endArrow=classic
250,Annual Fee,endArrow=classic,223,205,endArrow=classic
251,Trainer,endArrow=classic,224,206,endArrow=classic
252,Annual Fee,endArrow=classic,224,205,endArrow=classic
254,Training,endArrow=classic,213,208,endArrow=classic
260,Site,endArrow=classic,217,209,endArrow=classic
268,Listing,endArrow=classic,219,210,endArrow=classic
