id,value,style,source,target,type
200,Current News,shape=partialRectangle,null,null,data_base
201,Home Page,shape=partialRectangle,null,null,data_base
202,Old News,shape=partialRectangle,null,null,data_base
203,Editor,shape=partialRectangle,null,null,data_base
204,", Upcoming\nCourse",shape=partialRectangle,null,null,data_base
205,Upcoming Event,shape=partialRectangle,null,null,data_base
206,Course,shape=partialRectangle,null,null,data_base
207,Event,shape=partialRectangle,null,null,data_base
208,Feed,shape=partialRectangle,null,null,data_base
209,Upcoming Course,shape=partialRectangle,null,null,data_base
210,Faq,shape=partialRectangle,null,null,data_base
211,New Article,shape=partialRectangle,null,null,data_base
212,Page,shape=partialRectangle,null,null,data_base
213,Link,shape=partialRectangle,null,null,data_base
214,Article,shape=partialRectangle,null,null,data_base
215,Search,shape=partialRectangle,null,null,data_base
216,Author Name,shape=partialRectangle,null,null,data_base
217,Title,shape=partialRectangle,null,null,data_base
218,Comment,shape=partialRectangle,null,null,data_base
219,New Content,shape=partialRectangle,null,null,data_base
220,Site,shape=partialRectangle,null,null,data_base
221,Scrum,shape=partialRectangle,null,null,data_base
222,Alliance,shape=partialRectangle,null,null,data_base
223,Csm,shape=partialRectangle,null,null,data_base
224,Earth,shape=partialRectangle,null,null,data_base
225,Popular Item,shape=partialRectangle,null,null,data_base
226,Rating,shape=partialRectangle,null,null,data_base
227,Trainer,shape=partialRectangle,null,null,data_base
228,Basic,shape=partialRectangle,null,null,data_base
229,Practitioner,shape=partialRectangle,null,null,data_base
230,News Item,shape=partialRectangle,null,null,data_base
231,Search Criterion,shape=partialRectangle,null,null,data_base
232,Search Option,shape=partialRectangle,null,null,data_base
233,Text Search,shape=partialRectangle,null,null,data_base
234,Certification,shape=partialRectangle,null,null,data_base
235,Rss,shape=partialRectangle,null,null,data_base
236,Site Visitor,rounded=0,null,null,external_entity
237,Read Current News On The Home Page,ellipse,null,null,process
238,Access Old News Longer Is No On The Home Page,ellipse,null,null,process
239,Email News Items To The Editor,ellipse,null,null,process
240,See A List Of All Upcoming Certification Courses,ellipse,null,null,process
241,Have An Advanced Search Option Lets Fill In A Form Of Search Criteria,ellipse,null,null,process
242,View A Course,ellipse,null,null,process
243,Subscribe To An Rss Feed Of Upcoming Courses,ellipse,null,null,process
244,Subscribe To An Feed Of Event,ellipse,null,null,process
245,Read Faqs,ellipse,null,null,process
246,Do A Full Text Search Of The Faqs,ellipse,null,null,process
247,Week Read A New Article On The Front Page,ellipse,null,null,process
248,Click The Link From The Article Teaser,ellipse,null,null,process
249,The Link Take To The Body Of The Article,ellipse,null,null,process
250,Read Some Of Articles,ellipse,null,null,process
251,Do A Full Search Of Author Name,ellipse,null,null,process
252,Do A Full Search Of Title,ellipse,null,null,process
253,Post Comments About Articles,ellipse,null,null,process
254,See New Content,ellipse,null,null,process
255,Come To The Site,ellipse,null,null,process
256,Get,ellipse,null,null,process
257,Have Articles Interest,ellipse,null,null,process
258,Know,ellipse,null,null,process
259,Visit,ellipse,null,null,process
260,Need An Alliance,ellipse,null,null,process
261,Be One,ellipse,null,null,process
262,Glance Around The Home Page,ellipse,null,null,process
263,Easily Get To The Home Page,ellipse,null,null,process
264,See A Trainer's Rating,ellipse,null,null,process
265,View A Section Of The Website Teaches Me The Basics What Scrum Is,ellipse,null,null,process
266,View Lists On The Site Of Trainer,ellipse,null,null,process
267,View Lists On The Site Of Practitioner,ellipse,null,null,process
268,View Lists On The Site Of All Certified Scrum Masters,ellipse,null,null,process
269,View Lists On The Site Of Certified Scrum Product Owner,ellipse,null,null,process
271,,endArrow=classic,236,237,endArrow=classic
272,,endArrow=classic,236,238,endArrow=classic
273,,endArrow=classic,236,239,endArrow=classic
274,,endArrow=classic,236,240,endArrow=classic
275,,endArrow=classic,236,241,endArrow=classic
276,,endArrow=classic,236,242,endArrow=classic
277,,endArrow=classic,236,243,endArrow=classic
