id,value,style,source,target,type
200,Event,shape=partialRectangle,null,null,data_base
201,New Course,shape=partialRectangle,null,null,data_base
202,Article,shape=partialRectangle,null,null,data_base
203,Teaser,shape=partialRectangle,null,null,data_base
204,Profile Page,shape=partialRectangle,null,null,data_base
205,Rating,shape=partialRectangle,null,null,data_base
206,Trainer,rounded=0,null,null,external_entity
207,Site Editor,rounded=0,null,null,external_entity
208,Create Event,ellipse,null,null,process
209,Create A New Course,ellipse,null,null,process
210,Include A Teaser With Each Article,ellipse,null,null,process
211,Show Rating Up On Profile Page,ellipse,null,null,process
213,,endArrow=classic,206,208,endArrow=classic
214,,endArrow=classic,206,209,endArrow=classic
215,,endArrow=classic,206,211,endArrow=classic
216,,endArrow=classic,207,210,endArrow=classic
217,Event,endArrow=classic,208,200,endArrow=classic
218,New Course,endArrow=classic,209,201,endArrow=classic
219,Teaser,endArrow=classic,210,203,endArrow=classic
220,Article,endArrow=classic,210,202,endArrow=classic
221,Rating,endArrow=classic,211,205,endArrow=classic
222,Profile Page,endArrow=classic,211,204,endArrow=classic
