id,value,style,source,target,type
200,Nsf,shape=partialRectangle,null,null,data_base
201,Editorial Plan,shape=partialRectangle,null,null,data_base
202,Recommendation,shape=partialRectangle,null,null,data_base
203,Content Type,shape=partialRectangle,null,null,data_base
204,Content Design,shape=partialRectangle,null,null,data_base
205,Content Designer,rounded=0,null,null,external_entity
206,Develop A Better Understanding Of Editorial Plan,ellipse,null,null,process
207,Develop A Better Understanding Of Nsf's Content Types,ellipse,null,null,process
208,"Demonstrate The Value Of User, Centered Content Design 'S An Integral Part Of Recommendations",ellipse,null,null,process
209,Ensure,ellipse,null,null,process
211,,endArrow=classic,205,206,endArrow=classic
212,,endArrow=classic,205,207,endArrow=classic
213,,endArrow=classic,205,208,endArrow=classic
214,,endArrow=classic,205,209,endArrow=classic
215,Editorial Plan,endArrow=classic,206,201,endArrow=classic
216,Content Type,endArrow=classic,207,203,endArrow=classic
217,,endArrow=classic,208,209,endArrow=classic
218,Content Design,endArrow=classic,208,204,endArrow=classic
219,Recommendation,endArrow=classic,208,202,endArrow=classic
221,Nsf,endArrow=classic,207,200,endArrow=classic
