id,value,style,source,target,type
200,Decision,shape=partialRectangle,null,null,data_base
201,Beta,shape=partialRectangle,null,null,data_base
202,Blog Aggregator,shape=partialRectangle,null,null,data_base
203,User Research,shape=partialRectangle,null,null,data_base
204,Stakeholder,rounded=0,null,null,external_entity
205,Have A Decision,ellipse,null,null,process
206,Have A Decision Not The Blog Aggregator Work For Beta,ellipse,null,null,process
207,Not Will,ellipse,null,null,process
208,See The Results Of User Research,ellipse,null,null,process
210,,endArrow=classic,204,205,endArrow=classic
211,,endArrow=classic,204,206,endArrow=classic
212,,endArrow=classic,204,207,endArrow=classic
213,,endArrow=classic,204,208,endArrow=classic
214,,endArrow=classic,205,207,endArrow=classic
215,Decision,endArrow=classic,205,200,endArrow=classic
216,Decision,endArrow=classic,206,200,endArrow=classic
217,Blog Aggregator,endArrow=classic,206,202,endArrow=classic
218,Beta,endArrow=classic,206,201,endArrow=classic
219,User Research,endArrow=classic,208,203,endArrow=classic
