id,value,style,source,target,type
200,Nsf.Gov Website,shape=partialRectangle,null,null,data_base
201,Different Style,shape=partialRectangle,null,null,data_base
202,Moodboard,shape=partialRectangle,null,null,data_base
203,Visual Design,shape=partialRectangle,null,null,data_base
204,Nsf Project\nTeam,shape=partialRectangle,null,null,data_base
205,Design Concept,shape=partialRectangle,null,null,data_base
206,Visualdesigner,rounded=0,null,null,external_entity
207,Concept Different Styles For The Nsf.Gov Website,ellipse,null,null,process
208,Aid With Visual Design Concepts For The Nsf.Gov Website,ellipse,null,null,process
209,Create A Moodboard,ellipse,null,null,process
210,Demonstrate The Value Of Visual Design To The Nsf Project Team,ellipse,null,null,process
212,,endArrow=classic,206,207,endArrow=classic
213,,endArrow=classic,206,208,endArrow=classic
214,,endArrow=classic,206,209,endArrow=classic
215,,endArrow=classic,206,210,endArrow=classic
216,Different Style,endArrow=classic,207,201,endArrow=classic
217,Nsf.Gov Website,endArrow=classic,207,200,endArrow=classic
218,Design Concept,endArrow=classic,208,205,endArrow=classic
219,Nsf.Gov Website,endArrow=classic,208,200,endArrow=classic
220,,endArrow=classic,209,208,endArrow=classic
221,Moodboard,endArrow=classic,209,202,endArrow=classic
222,Visual Design,endArrow=classic,210,203,endArrow=classic
223,Nsf Project\nTeam,endArrow=classic,210,204,endArrow=classic
