id,value,style,source,target,type
200,Summary,shape=partialRectangle,null,null,data_base
201,Event,shape=partialRectangle,null,null,data_base
202,Major Finding,shape=partialRectangle,null,null,data_base
203,Workshop Attendee,rounded=0,null,null,external_entity
204,Have A Summary What Learned,ellipse,null,null,process
205,See A Summary On Major Findings From The Event,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Summary,endArrow=classic,204,200,endArrow=classic
210,Major Finding,endArrow=classic,205,202,endArrow=classic
211,Event,endArrow=classic,205,201,endArrow=classic
212,Summary,endArrow=classic,205,200,endArrow=classic
