id,value,style,source,target,type
3,Check on my child's progress,ellipse,null,null,process
200,Child,shape=partialRectangle,null,null,data_base
201,Counselor,shape=partialRectangle,null,null,data_base
202,Activity,shape=partialRectangle,null,null,data_base
203,Camp,shape=partialRectangle,null,null,data_base
204,Parent,rounded=0,null,null,external_entity
205,Message Child's Counselors,ellipse,null,null,process
206,See A Schedule Of The Activities Children Involved At Camp,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,Counselor,endArrow=classic,205,201,endArrow=classic
211,Activity,endArrow=classic,206,202,endArrow=classic
212,Camp,endArrow=classic,206,203,endArrow=classic
213,Child,endArrow=classic,206,200,endArrow=classic
1000,,endArrow=classic,204,3,endArrow=classic
1001,Concerns,rounded=0,null,null,external_entity
1002,Concerns,endArrow=classic,3,1001,endArrow=classic
1003,Progress,rounded=0,null,null,external_entity
1004,Progress,endArrow=classic,3,1003,endArrow=classic
