id,value,style,source,target,type
200,Inappropriate Behavior,shape=partialRectangle,null,null,data_base
201,Manager,shape=partialRectangle,null,null,data_base
202,Camper,shape=partialRectangle,null,null,data_base
203,Camp,shape=partialRectangle,null,null,data_base
204,Supply,shape=partialRectangle,null,null,data_base
205,Necessary Repair,shape=partialRectangle,null,null,data_base
206,Camp Worker,rounded=0,null,null,external_entity
207,Report A Camper To The Manager With An Inappropriate Behavior,ellipse,null,null,process
208,Report A List Of Supplies To The Manager The Camp Short,ellipse,null,null,process
209,Report Necessary Repairs To The Manager The Camp,ellipse,null,null,process
211,,endArrow=classic,206,207,endArrow=classic
212,,endArrow=classic,206,208,endArrow=classic
213,,endArrow=classic,206,209,endArrow=classic
214,Camper,endArrow=classic,207,202,endArrow=classic
215,Manager,endArrow=classic,207,201,endArrow=classic
216,Inappropriate Behavior,endArrow=classic,207,200,endArrow=classic
217,Supply,endArrow=classic,208,204,endArrow=classic
218,Camp,endArrow=classic,208,203,endArrow=classic
219,Manager,endArrow=classic,208,201,endArrow=classic
220,Necessary Repair,endArrow=classic,209,205,endArrow=classic
221,Manager,endArrow=classic,209,201,endArrow=classic
