id,value,style,source,target,type
200,Form,shape=partialRectangle,null,null,data_base
201,Staff,shape=partialRectangle,null,null,data_base
202,Kid,shape=partialRectangle,null,null,data_base
203,Emergency,shape=partialRectangle,null,null,data_base
204,Registration,shape=partialRectangle,null,null,data_base
205,Camp Administrator,rounded=0,null,null,external_entity
206,Parent,rounded=0,null,null,external_entity
207,Create A Form For Kid,ellipse,null,null,process
208,Create A Registration Form For Both Staff,ellipse,null,null,process
209,Connect With The Staff In Case Of An Emergency,ellipse,null,null,process
211,,endArrow=classic,205,207,endArrow=classic
212,,endArrow=classic,205,208,endArrow=classic
213,,endArrow=classic,206,209,endArrow=classic
214,Form,endArrow=classic,207,200,endArrow=classic
215,Kid,endArrow=classic,207,202,endArrow=classic
216,Staff,endArrow=classic,208,201,endArrow=classic
217,Form,endArrow=classic,208,200,endArrow=classic
218,Emergency,endArrow=classic,209,203,endArrow=classic
219,Staff,endArrow=classic,209,201,endArrow=classic
221,Registration,endArrow=classic,208,204,endArrow=classic
