id,value,style,source,target,type
200,Completion Report,shape=partialRectangle,null,null,data_base
201,Task,shape=partialRectangle,null,null,data_base
202,Manager,shape=partialRectangle,null,null,data_base
203,Inappropriate Behavior,shape=partialRectangle,null,null,data_base
204,Camper,shape=partialRectangle,null,null,data_base
205,Camp,shape=partialRectangle,null,null,data_base
206,Supply,shape=partialRectangle,null,null,data_base
207,Necessary Repair,shape=partialRectangle,null,null,data_base
208,Camp Administrator,rounded=0,null,null,external_entity
209,Camp Worker,rounded=0,null,null,external_entity
210,Warn A Camp Worker,ellipse,null,null,process
211,See,ellipse,null,null,process
212,Submit A Completion Report For The Tasks Assigned To,ellipse,null,null,process
213,Report A Camper To The Manager With An Inappropriate Behavior,ellipse,null,null,process
214,Report A List Of Supplies To The Manager The Camp Short,ellipse,null,null,process
215,Report Necessary Repairs To The Manager The Camp,ellipse,null,null,process
217,,endArrow=classic,208,210,endArrow=classic
218,,endArrow=classic,208,214,endArrow=classic
219,,endArrow=classic,209,210,endArrow=classic
220,,endArrow=classic,209,212,endArrow=classic
221,,endArrow=classic,209,213,endArrow=classic
222,,endArrow=classic,209,214,endArrow=classic
223,,endArrow=classic,209,215,endArrow=classic
224,Completion Report,endArrow=classic,212,200,endArrow=classic
225,Task,endArrow=classic,212,201,endArrow=classic
226,Camper,endArrow=classic,213,204,endArrow=classic
227,Manager,endArrow=classic,213,202,endArrow=classic
228,Inappropriate Behavior,endArrow=classic,213,203,endArrow=classic
229,Supply,endArrow=classic,214,206,endArrow=classic
230,Camp,endArrow=classic,214,205,endArrow=classic
231,Manager,endArrow=classic,214,202,endArrow=classic
232,Necessary Repair,endArrow=classic,215,207,endArrow=classic
233,Manager,endArrow=classic,215,202,endArrow=classic
