id,value,style,source,target,type
200,Form,shape=partialRectangle,null,null,data_base
201,Kid,shape=partialRectangle,null,null,data_base
202,Staff,shape=partialRectangle,null,null,data_base
203,Attendance,shape=partialRectangle,null,null,data_base
204,Parent,shape=partialRectangle,null,null,data_base
205,Account,shape=partialRectangle,null,null,data_base
206,Registration,shape=partialRectangle,null,null,data_base
207,Camp Administrator,rounded=0,null,null,external_entity
208,Parent,rounded=0,null,null,external_entity
209,Create A Form For Kid,ellipse,null,null,process
210,Create A Registration Form For Both Staff,ellipse,null,null,process
211,Log Attendance,ellipse,null,null,process
212,Add Parents,ellipse,null,null,process
213,Create An Account,ellipse,null,null,process
215,,endArrow=classic,207,209,endArrow=classic
216,,endArrow=classic,207,210,endArrow=classic
217,,endArrow=classic,207,211,endArrow=classic
218,,endArrow=classic,207,212,endArrow=classic
219,,endArrow=classic,208,213,endArrow=classic
220,Form,endArrow=classic,209,200,endArrow=classic
221,Kid,endArrow=classic,209,201,endArrow=classic
222,Staff,endArrow=classic,210,202,endArrow=classic
223,Form,endArrow=classic,210,200,endArrow=classic
224,Attendance,endArrow=classic,211,203,endArrow=classic
225,Parent,endArrow=classic,212,204,endArrow=classic
226,Account,endArrow=classic,213,205,endArrow=classic
228,Registration,endArrow=classic,210,206,endArrow=classic
