id,value,style,source,target,type
28,Keep parent's information up to date,ellipse,null,null,process
29,Check on my child's progress,ellipse,null,null,process
200,Avenue,shape=partialRectangle,null,null,data_base
201,Parent,shape=partialRectangle,null,null,data_base
202,General Concern,shape=partialRectangle,null,null,data_base
203,Feedback,shape=partialRectangle,null,null,data_base
204,Camper,shape=partialRectangle,null,null,data_base
205,Weekly Feedback,shape=partialRectangle,null,null,data_base
206,Information,shape=partialRectangle,null,null,data_base
207,Add Parent,shape=partialRectangle,null,null,data_base
208,Guardian,shape=partialRectangle,null,null,data_base
209,Immediate Parent,shape=partialRectangle,null,null,data_base
210,Camp,shape=partialRectangle,null,null,data_base
211,Activity,shape=partialRectangle,null,null,data_base
212,Child,shape=partialRectangle,null,null,data_base
213,Schedule,shape=partialRectangle,null,null,data_base
214,Account,shape=partialRectangle,null,null,data_base
215,Kid,shape=partialRectangle,null,null,data_base
216,Counselor,shape=partialRectangle,null,null,data_base
217,Necessary Payment,shape=partialRectangle,null,null,data_base
218,Enrolled Child,shape=partialRectangle,null,null,data_base
219,Form,shape=partialRectangle,null,null,data_base
220,Photo,shape=partialRectangle,null,null,data_base
221,Staff,shape=partialRectangle,null,null,data_base
222,Emergency,shape=partialRectangle,null,null,data_base
223,Consent,shape=partialRectangle,null,null,data_base
224,Camp Administrator,rounded=0,null,null,external_entity
225,Parent,rounded=0,null,null,external_entity
226,Upload Consent Forms,ellipse,null,null,process
227,Parents Submit General Concern,ellipse,null,null,process
228,Parents Submit Feedback,ellipse,null,null,process
229,Create An Avenue,ellipse,null,null,process
230,Provide Weekly Feedback To Camper's Parents,ellipse,null,null,process
231,Notify Parents Once,ellipse,null,null,process
232,Add Parents,ellipse,null,null,process
233,Modify The Information Of Added Parents,ellipse,null,null,process
234,Store Camper's Immediate Parent Information,ellipse,null,null,process
235,Store Guardian's Information,ellipse,null,null,process
236,See Which Consent Forms,ellipse,null,null,process
237,Track Schedule,ellipse,null,null,process
238,Track Child's Activity At Camp,ellipse,null,null,process
239,Create An Account,ellipse,null,null,process
240,See,ellipse,null,null,process
241,Assigned To Kids,ellipse,null,null,process
242,Message Child's Counselors,ellipse,null,null,process
243,Sign Consent Forms,ellipse,null,null,process
244,Submit Consent Forms,ellipse,null,null,process
245,Made The Necessary Payments,ellipse,null,null,process
246,Enroll Children,ellipse,null,null,process
247,See Enrolled Children To The Camp Year,ellipse,null,null,process
248,Edit Enrolled Children To The Camp Year,ellipse,null,null,process
249,Submit Various Type Of Forms To The Camp Management,ellipse,null,null,process
250,Share Any Photos The Camp Has Taken Of Child,ellipse,null,null,process
251,Connect With The Staff In Case Of An Emergency,ellipse,null,null,process
252,See A Schedule Of The Activities Children Involved At Camp,ellipse,null,null,process
254,,endArrow=classic,224,226,endArrow=classic
255,,endArrow=classic,224,227,endArrow=classic
256,,endArrow=classic,224,228,endArrow=classic
257,,endArrow=classic,224,229,endArrow=classic
258,,endArrow=classic,224,230,endArrow=classic
259,,endArrow=classic,224,231,endArrow=classic
260,,endArrow=classic,224,232,endArrow=classic
261,,endArrow=classic,224,233,endArrow=classic
262,,endArrow=classic,224,234,endArrow=classic
263,,endArrow=classic,224,235,endArrow=classic
264,,endArrow=classic,224,236,endArrow=classic
265,,endArrow=classic,224,243,endArrow=classic
266,,endArrow=classic,224,244,endArrow=classic
267,,endArrow=classic,225,226,endArrow=classic
268,,endArrow=classic,225,236,endArrow=classic
269,,endArrow=classic,225,237,endArrow=classic
270,,endArrow=classic,225,238,endArrow=classic
271,,endArrow=classic,225,239,endArrow=classic
272,,endArrow=classic,225,240,endArrow=classic
273,,endArrow=classic,225,240,endArrow=classic
274,,endArrow=classic,225,241,endArrow=classic
275,,endArrow=classic,225,242,endArrow=classic
276,,endArrow=classic,225,243,endArrow=classic
277,,endArrow=classic,225,244,endArrow=classic
278,,endArrow=classic,225,245,endArrow=classic
279,,endArrow=classic,225,246,endArrow=classic
280,,endArrow=classic,225,247,endArrow=classic
281,,endArrow=classic,225,248,endArrow=classic
282,,endArrow=classic,225,249,endArrow=classic
283,,endArrow=classic,225,250,endArrow=classic
284,,endArrow=classic,225,251,endArrow=classic
285,,endArrow=classic,225,252,endArrow=classic
286,Form,endArrow=classic,226,219,endArrow=classic
287,General Concern,endArrow=classic,227,202,endArrow=classic
288,Parent,endArrow=classic,227,201,endArrow=classic
289,Parent,endArrow=classic,228,201,endArrow=classic
290,Feedback,endArrow=classic,228,203,endArrow=classic
291,,endArrow=classic,229,227,endArrow=classic
292,,endArrow=classic,229,228,endArrow=classic
293,Avenue,endArrow=classic,229,200,endArrow=classic
294,Parent,endArrow=classic,229,201,endArrow=classic
295,Weekly Feedback,endArrow=classic,230,205,endArrow=classic
296,Parent,endArrow=classic,230,201,endArrow=classic
297,Parent,endArrow=classic,231,201,endArrow=classic
298,Parent,endArrow=classic,232,201,endArrow=classic
299,Information,endArrow=classic,233,206,endArrow=classic
300,Add Parent,endArrow=classic,233,207,endArrow=classic
301,Information,endArrow=classic,234,206,endArrow=classic
302,Guardian,endArrow=classic,235,208,endArrow=classic
303,Information,endArrow=classic,235,206,endArrow=classic
304,Form,endArrow=classic,236,219,endArrow=classic
305,Schedule,endArrow=classic,237,213,endArrow=classic
306,Activity,endArrow=classic,238,211,endArrow=classic
307,Camp,endArrow=classic,238,210,endArrow=classic
308,Account,endArrow=classic,239,214,endArrow=classic
309,,endArrow=classic,240,241,endArrow=classic
310,Kid,endArrow=classic,241,215,endArrow=classic
311,Counselor,endArrow=classic,242,216,endArrow=classic
312,Form,endArrow=classic,243,219,endArrow=classic
313,Form,endArrow=classic,244,219,endArrow=classic
314,,endArrow=classic,245,240,endArrow=classic
315,Necessary Payment,endArrow=classic,245,217,endArrow=classic
316,Child,endArrow=classic,246,212,endArrow=classic
317,Enrolled Child,endArrow=classic,247,218,endArrow=classic
318,Enrolled Child,endArrow=classic,248,218,endArrow=classic
319,Form,endArrow=classic,249,219,endArrow=classic
320,Photo,endArrow=classic,250,220,endArrow=classic
321,Camp,endArrow=classic,250,210,endArrow=classic
322,Child,endArrow=classic,250,212,endArrow=classic
323,Staff,endArrow=classic,251,221,endArrow=classic
324,Emergency,endArrow=classic,251,222,endArrow=classic
325,Camp,endArrow=classic,252,210,endArrow=classic
326,Activity,endArrow=classic,252,211,endArrow=classic
327,Child,endArrow=classic,252,212,endArrow=classic
328,Schedule,endArrow=classic,252,213,endArrow=classic
333,Camper,endArrow=classic,230,204,endArrow=classic
342,Immediate Parent,endArrow=classic,234,209,endArrow=classic
343,Consent,endArrow=classic,226,223,endArrow=classic
1000,,endArrow=classic,233,28,endArrow=classic
1001,Camp administrator,rounded=0,null,null,external_entity
1002,,endArrow=classic,1001,28,endArrow=classic
1003,Parent's information,rounded=0,null,null,external_entity
1004,Parent's information,endArrow=classic,28,1003,endArrow=classic
1005,Parent,rounded=0,null,null,external_entity
1006,,endArrow=classic,1005,29,endArrow=classic
1007,,endArrow=classic,225,29,endArrow=classic
1008,Concerns,rounded=0,null,null,external_entity
1009,Concerns,endArrow=classic,29,1008,endArrow=classic
1010,Progress,rounded=0,null,null,external_entity
1011,Progress,endArrow=classic,29,1010,endArrow=classic
