id,value,style,source,target,type
200,Group,shape=partialRectangle,null,null,data_base
201,Camper,shape=partialRectangle,null,null,data_base
202,Camp Administrator,rounded=0,null,null,external_entity
203,Create Groups,ellipse,null,null,process
204,Add Campers To The Groups,ellipse,null,null,process
206,,endArrow=classic,202,203,endArrow=classic
207,,endArrow=classic,202,204,endArrow=classic
208,Group,endArrow=classic,203,200,endArrow=classic
209,Camper,endArrow=classic,204,201,endArrow=classic
210,Group,endArrow=classic,204,200,endArrow=classic
