id,value,style,source,target,type
49,See the stories and estimates.,ellipse,null,null,process
50,Save the stories and estimates locally.,ellipse,null,null,process
51,Process the stories and estimates.,ellipse,null,null,process
52,Keep my account details up-to-date.,ellipse,null,null,process
200,New Game,shape=partialRectangle,null,null,data_base
201,Optional Description,shape=partialRectangle,null,null,data_base
202,Name,shape=partialRectangle,null,null,data_base
203,Estimator,shape=partialRectangle,null,null,data_base
204,Game,shape=partialRectangle,null,null,data_base
205,Url,shape=partialRectangle,null,null,data_base
206,Item,shape=partialRectangle,null,null,data_base
207,Round,shape=partialRectangle,null,null,data_base
208,Estimate,shape=partialRectangle,null,null,data_base
209,Estimate Field,shape=partialRectangle,null,null,data_base
210,Agree Estimate,shape=partialRectangle,null,null,data_base
211,Story,shape=partialRectangle,null,null,data_base
212,Previous Game,shape=partialRectangle,null,null,data_base
213,Html File,shape=partialRectangle,null,null,data_base
214,Csv File,shape=partialRectangle,null,null,data_base
215,Application,shape=partialRectangle,null,null,data_base
216,Account,shape=partialRectangle,null,null,data_base
217,Password,shape=partialRectangle,null,null,data_base
218,Username,shape=partialRectangle,null,null,data_base
219,Email,shape=partialRectangle,null,null,data_base
220,Team,shape=partialRectangle,null,null,data_base
221,2,shape=partialRectangle,null,null,data_base
222,1,shape=partialRectangle,null,null,data_base
223,3,shape=partialRectangle,null,null,data_base
224,5,shape=partialRectangle,null,null,data_base
225,8,shape=partialRectangle,null,null,data_base
226,Etc,shape=partialRectangle,null,null,data_base
227,", Estimator",shape=partialRectangle,null,null,data_base
228,Spreadsheet,shape=partialRectangle,null,null,data_base
229,Time,shape=partialRectangle,null,null,data_base
230,Date,shape=partialRectangle,null,null,data_base
231,Local Timezone,shape=partialRectangle,null,null,data_base
232,Text Field,shape=partialRectangle,null,null,data_base
233,Moderator,rounded=0,null,null,external_entity
234,Entering An Optional Description,ellipse,null,null,process
235,Entering A Name,ellipse,null,null,process
236,Create A New Game,ellipse,null,null,process
237,Giving Them A Url Where Access The Game,ellipse,null,null,process
238,Invite Estimators,ellipse,null,null,process
239,"Entering An Item In A Line, Single Text Field",ellipse,null,null,process
240,Start A Round,ellipse,null,null,process
241,See All Items,ellipse,null,null,process
242,Select An Item,ellipse,null,null,process
243,Select An Item To Estimated,ellipse,null,null,process
244,Estimate,ellipse,null,null,process
245,Add An Item To The List Of Items,ellipse,null,null,process
246,Edit An Item In The List Of Items To Estimated,ellipse,null,null,process
247,Delete An Item From The List Of Items To Estimated,ellipse,null,null,process
248,Show All Estimates,ellipse,null,null,process
249,Accept The Average Of All Estimates,ellipse,null,null,process
250,Have The Automatically Estimate Field,ellipse,null,null,process
251,Enter Upon The Agreed Estimate,ellipse,null,null,process
252,Estimate A Story,ellipse,null,null,process
253,Browse Through Previous Games,ellipse,null,null,process
254,View A Transcript Of A Game,ellipse,null,null,process
255,Export A Transcript Of A Game As A Html File,ellipse,null,null,process
256,Delete A Game,ellipse,null,null,process
257,Create An Account For The Application,ellipse,null,null,process
258,Entering A Password,ellipse,null,null,process
259,Entering Name,ellipse,null,null,process
260,Entering Email Address,ellipse,null,null,process
261,Entering A Username,ellipse,null,null,process
262,Log,ellipse,null,null,process
263,Using Account Name,ellipse,null,null,process
264,Using Password,ellipse,null,null,process
265,Change Account Details,ellipse,null,null,process
266,Delete Account,ellipse,null,null,process
267,Get A Password Reminder By Email,ellipse,null,null,process
268,Have The Team With,ellipse,null,null,process
269,Select,ellipse,null,null,process
270,Have The Team With 5,ellipse,null,null,process
271,Have The Team With 2,ellipse,null,null,process
272,Have The Team With 3,ellipse,null,null,process
273,Have The Team With 1,ellipse,null,null,process
274,Have The Team With Etc,ellipse,null,null,process
275,Have The Team With 8,ellipse,null,null,process
276,"Invite To, Up Estimators",ellipse,null,null,process
277,Import Stories From A Spreadsheet,ellipse,null,null,process
278,Copy Stories From A Spreadsheet,ellipse,null,null,process
279,Paste Stories From A Spreadsheet,ellipse,null,null,process
280,See Time,ellipse,null,null,process
281,See Dates In Local Timezone,ellipse,null,null,process
283,,endArrow=classic,233,234,endArrow=classic
284,,endArrow=classic,233,235,endArrow=classic
285,,endArrow=classic,233,236,endArrow=classic
286,,endArrow=classic,233,237,endArrow=classic
287,,endArrow=classic,233,238,endArrow=classic
288,,endArrow=classic,233,239,endArrow=classic
289,,endArrow=classic,233,240,endArrow=classic
290,,endArrow=classic,233,241,endArrow=classic
291,,endArrow=classic,233,242,endArrow=classic
292,,endArrow=classic,233,243,endArrow=classic
293,,endArrow=classic,233,244,endArrow=classic
294,,endArrow=classic,233,245,endArrow=classic
295,,endArrow=classic,233,246,endArrow=classic
296,,endArrow=classic,233,247,endArrow=classic
297,,endArrow=classic,233,248,endArrow=classic
298,,endArrow=classic,233,249,endArrow=classic
299,,endArrow=classic,233,250,endArrow=classic
300,,endArrow=classic,233,251,endArrow=classic
301,,endArrow=classic,233,252,endArrow=classic
302,,endArrow=classic,233,253,endArrow=classic
303,,endArrow=classic,233,254,endArrow=classic
304,,endArrow=classic,233,255,endArrow=classic
305,,endArrow=classic,233,256,endArrow=classic
306,,endArrow=classic,233,257,endArrow=classic
307,,endArrow=classic,233,258,endArrow=classic
308,,endArrow=classic,233,259,endArrow=classic
309,,endArrow=classic,233,260,endArrow=classic
310,,endArrow=classic,233,261,endArrow=classic
311,,endArrow=classic,233,262,endArrow=classic
312,,endArrow=classic,233,263,endArrow=classic
313,,endArrow=classic,233,264,endArrow=classic
314,,endArrow=classic,233,265,endArrow=classic
315,,endArrow=classic,233,266,endArrow=classic
316,,endArrow=classic,233,267,endArrow=classic
317,,endArrow=classic,233,269,endArrow=classic
318,,endArrow=classic,233,270,endArrow=classic
319,,endArrow=classic,233,271,endArrow=classic
320,,endArrow=classic,233,272,endArrow=classic
321,,endArrow=classic,233,273,endArrow=classic
322,,endArrow=classic,233,274,endArrow=classic
323,,endArrow=classic,233,275,endArrow=classic
