id,value,style,source,target,type
7,Use any language i like.,ellipse,null,null,process
200,Action,shape=partialRectangle,null,null,data_base
201,Unicode,shape=partialRectangle,null,null,data_base
202,Predictable,shape=partialRectangle,null,null,data_base
203,Sensible Url,shape=partialRectangle,null,null,data_base
204,Error Page,shape=partialRectangle,null,null,data_base
205,User,rounded=0,null,null,external_entity
206,Have,ellipse,null,null,process
207,Respond To Actions,ellipse,null,null,process
208,Use Unicode,ellipse,null,null,process
209,See Predictable,ellipse,null,null,process
210,See Sensible Urls,ellipse,null,null,process
211,Have Nice Error Pages,ellipse,null,null,process
213,,endArrow=classic,205,206,endArrow=classic
214,,endArrow=classic,205,207,endArrow=classic
215,,endArrow=classic,205,208,endArrow=classic
216,,endArrow=classic,205,209,endArrow=classic
217,,endArrow=classic,205,210,endArrow=classic
218,,endArrow=classic,205,211,endArrow=classic
219,,endArrow=classic,206,207,endArrow=classic
220,Action,endArrow=classic,207,200,endArrow=classic
221,Unicode,endArrow=classic,208,201,endArrow=classic
222,Predictable,endArrow=classic,209,202,endArrow=classic
223,Sensible Url,endArrow=classic,210,203,endArrow=classic
224,Error Page,endArrow=classic,211,204,endArrow=classic
1000,,endArrow=classic,208,7,endArrow=classic
1001,Language,rounded=0,null,null,external_entity
1002,Language,endArrow=classic,7,1001,endArrow=classic
