id,value,style,source,target,type
200,Timer,shape=partialRectangle,null,null,data_base
201,-pron-,shape=partialRectangle,null,null,data_base
202,Estimate,shape=partialRectangle,null,null,data_base
203,Minute,shape=partialRectangle,null,null,data_base
204,Participant,rounded=0,null,null,external_entity
205,The Minute Timer Soon As Reset Play An Estimate,ellipse,null,null,process
206,The Timer Soon As Reset Itself All Play,ellipse,null,null,process
207,Have,ellipse,null,null,process
209,,endArrow=classic,204,205,endArrow=classic
210,,endArrow=classic,204,206,endArrow=classic
211,,endArrow=classic,204,207,endArrow=classic
212,,endArrow=classic,205,207,endArrow=classic
213,Estimate,endArrow=classic,205,202,endArrow=classic
214,Timer,endArrow=classic,205,200,endArrow=classic
215,,endArrow=classic,206,207,endArrow=classic
216,Timer,endArrow=classic,206,200,endArrow=classic
217,-pron-,endArrow=classic,206,201,endArrow=classic
218,Minute,endArrow=classic,205,203,endArrow=classic
