id,value,style,source,target,type
40,View just the dataset with a few people.,ellipse,null,null,process
41,Publish my data package under.,ellipse,null,null,process
42,Access.,ellipse,null,null,process
43,Use.,ellipse,null,null,process
44,Understand how useful and simple the datapackage format and the registry is.,ellipse,null,null,process
45,Share just with my team.,ellipse,null,null,process
46,Correct.,ellipse,null,null,process
200,Dataset,shape=partialRectangle,null,null,data_base
201,Account,shape=partialRectangle,null,null,data_base
202,Datapackage,shape=partialRectangle,null,null,data_base
203,Registry,shape=partialRectangle,null,null,data_base
204,Client,shape=partialRectangle,null,null,data_base
205,Publish Command,shape=partialRectangle,null,null,data_base
206,Server,shape=partialRectangle,null,null,data_base
207,Datum,shape=partialRectangle,null,null,data_base
208,Ui,shape=partialRectangle,null,null,data_base
209,Cli,shape=partialRectangle,null,null,data_base
210,Publishing,shape=partialRectangle,null,null,data_base
211,Publish Package,shape=partialRectangle,null,null,data_base
212,Tag,shape=partialRectangle,null,null,data_base
213,Multiple Version,shape=partialRectangle,null,null,data_base
214,Old Version,shape=partialRectangle,null,null,data_base
215,Previous Version,shape=partialRectangle,null,null,data_base
216,Access,shape=partialRectangle,null,null,data_base
217,Site,shape=partialRectangle,null,null,data_base
218,Price,shape=partialRectangle,null,null,data_base
219,Pricing Plan,shape=partialRectangle,null,null,data_base
220,Publish Datum,shape=partialRectangle,null,null,data_base
221,World,shape=partialRectangle,null,null,data_base
222,Publisher,shape=partialRectangle,null,null,data_base
223,Profile,shape=partialRectangle,null,null,data_base
224,Resource,shape=partialRectangle,null,null,data_base
225,Publisher,rounded=0,null,null,external_entity
226,Consumer,rounded=0,null,null,external_entity
227,Publish A Dataset,ellipse,null,null,process
228,Sign Up For An Account,ellipse,null,null,process
229,Know,ellipse,null,null,process
230,Signing Up,ellipse,null,null,process
231,Import Data Package Into The Registry,ellipse,null,null,process
232,Configure Client,ellipse,null,null,process
233,Use A Publish Command,ellipse,null,null,process
234,Update A Data Package Already Is In The Registry,ellipse,null,null,process
235,Unpublish A Data Package,ellipse,null,null,process
236,Delete A Data Package,ellipse,null,null,process
237,Publish A Data Package Resource Data Where Stored On Servers,ellipse,null,null,process
238,Publish A Data Package In The Ui,ellipse,null,null,process
239,Create A Data Package In The Ui,ellipse,null,null,process
240,Restore The Deleted Data Package Via Cli,ellipse,null,null,process
241,Undelete The Deleted Data Packages,ellipse,null,null,process
242,Preview The Views Of,ellipse,null,null,process
243,Use Cli To Publishing,ellipse,null,null,process
244,Preview A Datapackage,ellipse,null,null,process
245,See Real Examples Of Published Packages,ellipse,null,null,process
246,Tag Datapackage,ellipse,null,null,process
247,Create A Snapshot Of Data On The Registry Server,ellipse,null,null,process
248,Overwrite A Tag,ellipse,null,null,process
249,A Tag Exists Try,ellipse,null,null,process
250,Warned,ellipse,null,null,process
251,Overwrite The Previously Tagged Datapackage,ellipse,null,null,process
252,Version Data Package,ellipse,null,null,process
253,Keep Multiple Versions Including Older Versions,ellipse,null,null,process
254,Get Access To A Previous Version,ellipse,null,null,process
255,Sign Up For A Given Pricing Plan,ellipse,null,null,process
256,Have Private Data Packages,ellipse,null,null,process
257,Validate The Data,ellipse,null,null,process
258,Data,ellipse,null,null,process
259,Publish,ellipse,null,null,process
260,Validated,ellipse,null,null,process
