id,value,style,source,target,type
200,Item,shape=partialRectangle,null,null,data_base
201,Creator,shape=partialRectangle,null,null,data_base
202,Unique Identifier,shape=partialRectangle,null,null,data_base
203,Collection Curator,rounded=0,null,null,external_entity
204,Identify Creator,ellipse,null,null,process
205,Identify Authors Of Items By Unique Identifier,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Creator,endArrow=classic,204,201,endArrow=classic
210,Item,endArrow=classic,205,200,endArrow=classic
211,Unique Identifier,endArrow=classic,205,202,endArrow=classic
