id,value,style,source,target,type
200,Sla,shape=partialRectangle,null,null,data_base
201,Server,shape=partialRectangle,null,null,data_base
202,Data Contributor,shape=partialRectangle,null,null,data_base
203,Repoadmin,rounded=0,null,null,external_entity
204,Provide The Server To Data Contributors,ellipse,null,null,process
205,Provide Sla,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Server,endArrow=classic,204,201,endArrow=classic
210,Data Contributor,endArrow=classic,204,202,endArrow=classic
211,Sla,endArrow=classic,205,200,endArrow=classic
