id,value,style,source,target,type
200,Fedora,shape=partialRectangle,null,null,data_base
201,Datum,shape=partialRectangle,null,null,data_base
202,Application,shape=partialRectangle,null,null,data_base
203,Event Audit\nService,shape=partialRectangle,null,null,data_base
204,Developer,rounded=0,null,null,external_entity
205,Determine,ellipse,null,null,process
206,"Use The In Fedora, Built Event Audit Services",ellipse,null,null,process
207,Upgrade To Fedora,ellipse,null,null,process
208,Migrate Applications,ellipse,null,null,process
209,Migrate Datum,ellipse,null,null,process
211,,endArrow=classic,204,205,endArrow=classic
212,,endArrow=classic,204,206,endArrow=classic
213,,endArrow=classic,204,207,endArrow=classic
214,,endArrow=classic,204,208,endArrow=classic
215,,endArrow=classic,204,209,endArrow=classic
216,,endArrow=classic,206,205,endArrow=classic
217,Event Audit\nService,endArrow=classic,206,203,endArrow=classic
218,Fedora,endArrow=classic,207,200,endArrow=classic
219,Application,endArrow=classic,208,202,endArrow=classic
220,Datum,endArrow=classic,209,201,endArrow=classic
