id,value,style,source,target,type
200,Item,shape=partialRectangle,null,null,data_base
201,Address,shape=partialRectangle,null,null,data_base
202,Email,shape=partialRectangle,null,null,data_base
203,Repository,shape=partialRectangle,null,null,data_base
204,Title,shape=partialRectangle,null,null,data_base
205,Name,shape=partialRectangle,null,null,data_base
206,Phone,shape=partialRectangle,null,null,data_base
207,Storage,shape=partialRectangle,null,null,data_base
208,T,shape=partialRectangle,null,null,data_base
209,Financial Contact,shape=partialRectangle,null,null,data_base
210,Collection,shape=partialRectangle,null,null,data_base
211,"Remote ,\nPrimary Site",shape=partialRectangle,null,null,data_base
212,"Active ,\nAuthenticated User",shape=partialRectangle,null,null,data_base
213,Anonymous User,shape=partialRectangle,null,null,data_base
214,User,shape=partialRectangle,null,null,data_base
215,Page,shape=partialRectangle,null,null,data_base
216,Select Time,shape=partialRectangle,null,null,data_base
217,Upcoming Downtime,shape=partialRectangle,null,null,data_base
218,Message,shape=partialRectangle,null,null,data_base
219,Thing,shape=partialRectangle,null,null,data_base
220,Recent Error,shape=partialRectangle,null,null,data_base
221,Easy Comprehension,shape=partialRectangle,null,null,data_base
222,Component,shape=partialRectangle,null,null,data_base
223,Collections Size,shape=partialRectangle,null,null,data_base
224,Object,shape=partialRectangle,null,null,data_base
225,Version,shape=partialRectangle,null,null,data_base
226,Staff Interface,shape=partialRectangle,null,null,data_base
227,Replication Policy,shape=partialRectangle,null,null,data_base
228,Dashboard Statistic,shape=partialRectangle,null,null,data_base
229,Repository Manager,rounded=0,null,null,external_entity
230,Track Financially Responsible For Each Item In The Repository Probably Be A Contact Including Phone,ellipse,null,null,process
231,Track Financially Responsible For Each Item In The Repository Probably Be A Person Contact Including Name,ellipse,null,null,process
232,Track Financially Responsible For Each Item In The Repository Probably Be A Contact Including Address,ellipse,null,null,process
233,Track Financially Responsible For Each Item In The Repository Probably Be A Contact Including Email,ellipse,null,null,process
234,Track Financially Responsible For Each Item In The Repository Probably Be A Contact Including Maybe Title,ellipse,null,null,process
235,Show The Storage Each Financial Contact,ellipse,null,null,process
236,T Run,ellipse,null,null,process
237,Specify The Remote Replication Policy For Each Collection,ellipse,null,null,process
238,Elect,ellipse,null,null,process
239,Replicate,ellipse,null,null,process
240,"Replicate Beyond The Remote, Primary Site",ellipse,null,null,process
241,Elect Not,ellipse,null,null,process
242,View Anonymous User,ellipse,null,null,process
243,"View Active, Authenticated Users",ellipse,null,null,process
244,Schedule A Message To Users,ellipse,null,null,process
245,Displayed On Each Page On The Repository Between Select Times For Things Like Notification Of Upcoming Downtime,ellipse,null,null,process
246,See A Display Of Recent Errors For Easy Comprehension,ellipse,null,null,process
247,View A Dashboard Statistics About Collections Size Including A List Of Collections,ellipse,null,null,process
248,View Available Versions Of An Object,ellipse,null,null,process
249,Restore A Version From The Staff Interface,ellipse,null,null,process
251,,endArrow=classic,229,230,endArrow=classic
252,,endArrow=classic,229,231,endArrow=classic
253,,endArrow=classic,229,232,endArrow=classic
254,,endArrow=classic,229,233,endArrow=classic
255,,endArrow=classic,229,234,endArrow=classic
256,,endArrow=classic,229,235,endArrow=classic
257,,endArrow=classic,229,236,endArrow=classic
258,,endArrow=classic,229,237,endArrow=classic
259,,endArrow=classic,229,238,endArrow=classic
260,,endArrow=classic,229,240,endArrow=classic
261,,endArrow=classic,229,242,endArrow=classic
262,,endArrow=classic,229,243,endArrow=classic
263,,endArrow=classic,229,244,endArrow=classic
264,,endArrow=classic,229,245,endArrow=classic
265,,endArrow=classic,229,246,endArrow=classic
266,,endArrow=classic,229,247,endArrow=classic
267,,endArrow=classic,229,248,endArrow=classic
