id,value,style,source,target,type
200,Metadata,shape=partialRectangle,null,null,data_base
201,Information,shape=partialRectangle,null,null,data_base
202,Datum,shape=partialRectangle,null,null,data_base
203,Depositor,rounded=0,null,null,external_entity
204,Find Information Which Data A Assigned What Metadata Required,ellipse,null,null,process
205,Get One,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,,endArrow=classic,204,205,endArrow=classic
210,Information,endArrow=classic,204,201,endArrow=classic
211,Datum,endArrow=classic,204,202,endArrow=classic
212,Metadata,endArrow=classic,204,200,endArrow=classic
