id,value,style,source,target,type
200,Dataset,shape=partialRectangle,null,null,data_base
201,App,shape=partialRectangle,null,null,data_base
202,Type,shape=partialRectangle,null,null,data_base
203,Dataset Instance,shape=partialRectangle,null,null,data_base
204,Artifact,shape=partialRectangle,null,null,data_base
205,Instance,shape=partialRectangle,null,null,data_base
206,Multiple Application,shape=partialRectangle,null,null,data_base
207,App,shape=partialRectangle,null,null,data_base
208,New Code,shape=partialRectangle,null,null,data_base
209,Version Conflict\nError,shape=partialRectangle,null,null,data_base
210,Implementation,shape=partialRectangle,null,null,data_base
211,System,shape=partialRectangle,null,null,data_base
212,Runtime,shape=partialRectangle,null,null,data_base
213,Ui,shape=partialRectangle,null,null,data_base
214,"Administrative ,\nCustom Operation",shape=partialRectangle,null,null,data_base
215,Cli,shape=partialRectangle,null,null,data_base
216,Rest,shape=partialRectangle,null,null,data_base
217,Exist Dataset,shape=partialRectangle,null,null,data_base
218,Unit Test,shape=partialRectangle,null,null,data_base
219,Hydrator Pipeline,shape=partialRectangle,null,null,data_base
220,App Developer,rounded=0,null,null,external_entity
221,Include The Code Of A Dataset Type In App Artifact,ellipse,null,null,process
222,Create A Dataset Of That Type When Deploying The App,ellipse,null,null,process
223,Deploying A New Version Of The App Includes,ellipse,null,null,process
224,Deploy A New Version Of A Dataset Type As Part,ellipse,null,null,process
225,Affecting Other Datasets Of This Type,ellipse,null,null,process
226,Explore A Dataset Instance Of A Type Deployed As Part Of An App,ellipse,null,null,process
227,Deploy An Artifact,ellipse,null,null,process
228,Creating An App Not Create Instance,ellipse,null,null,process
229,Ensure That,ellipse,null,null,process
230,Creating An App Not Create Any Dataset Types,ellipse,null,null,process
231,Share A Dataset Type Across Multiple Applications Include The Dataset Type's Code In Artifacts,ellipse,null,null,process
232,Using The New Code,ellipse,null,null,process
233,Deploy A New Version Of An App Includes A Shared Dataset Type That Dataset Instances This App Start Dataset Instances Other Apps Unchanged,ellipse,null,null,process
234,Deploy A New Version Of An App Includes An Older Version Of Dataset Type Another App,ellipse,null,null,process
235,Ensure,ellipse,null,null,process
236,Shares Deploy A New Version Of An App Includes A Different Version Of Dataset Type Another App This App A Dataset Instance Of This Type With The Other App The Deployment Fail With A Version Conflict Error,ellipse,null,null,process
237,Share A Dataset Type,ellipse,null,null,process
238,Depend On The Interface Of A Dataset Type In App,ellipse,null,null,process
239,Have,ellipse,null,null,process
240,Write Unit Tests For An App Depends On The Interface Of A Dataset Type,ellipse,null,null,process
241,Create A Dataset Instance With A Specific Version Of A Dataset Type,ellipse,null,null,process
242,Ensure Dataset Instances Hydrator Pipelines Accessible To The App,ellipse,null,null,process
243,"Perform Administrative, Custom Operations On Dataset Instances From App",ellipse,null,null,process
244,"Perform Administrative, Custom Operations On Dataset Instances From The Cli",ellipse,null,null,process
245,"Perform Administrative, Custom Operations On Dataset Instances From The Ui",ellipse,null,null,process
246,"Perform Administrative, Custom Operations On Dataset Instances From Rest",ellipse,null,null,process
247,Tolerate Existing Datasets,ellipse,null,null,process
249,,endArrow=classic,220,221,endArrow=classic
250,,endArrow=classic,220,224,endArrow=classic
251,,endArrow=classic,220,225,endArrow=classic
252,,endArrow=classic,220,227,endArrow=classic
253,,endArrow=classic,220,228,endArrow=classic
254,,endArrow=classic,220,229,endArrow=classic
255,,endArrow=classic,220,231,endArrow=classic
256,,endArrow=classic,220,232,endArrow=classic
257,,endArrow=classic,220,233,endArrow=classic
258,,endArrow=classic,220,234,endArrow=classic
259,,endArrow=classic,220,234,endArrow=classic
260,,endArrow=classic,220,236,endArrow=classic
261,,endArrow=classic,220,236,endArrow=classic
262,,endArrow=classic,220,237,endArrow=classic
263,,endArrow=classic,220,237,endArrow=classic
264,,endArrow=classic,220,238,endArrow=classic
265,,endArrow=classic,220,244,endArrow=classic
266,,endArrow=classic,220,245,endArrow=classic
267,,endArrow=classic,220,246,endArrow=classic
268,App,endArrow=classic,221,201,endArrow=classic
269,Dataset,endArrow=classic,222,200,endArrow=classic
270,Type,endArrow=classic,222,202,endArrow=classic
271,App,endArrow=classic,222,201,endArrow=classic
272,,endArrow=classic,223,224,endArrow=classic
273,App,endArrow=classic,223,201,endArrow=classic
274,Artifact,endArrow=classic,224,204,endArrow=classic
275,,endArrow=classic,225,224,endArrow=classic
276,Type,endArrow=classic,225,202,endArrow=classic
277,App,endArrow=classic,226,201,endArrow=classic
278,Type,endArrow=classic,226,202,endArrow=classic
279,Instance,endArrow=classic,226,205,endArrow=classic
280,,endArrow=classic,227,229,endArrow=classic
281,Artifact,endArrow=classic,227,204,endArrow=classic
282,,endArrow=classic,228,227,endArrow=classic
283,Instance,endArrow=classic,228,205,endArrow=classic
284,App,endArrow=classic,228,201,endArrow=classic
285,,endArrow=classic,230,227,endArrow=classic
286,App,endArrow=classic,230,201,endArrow=classic
287,Type,endArrow=classic,230,202,endArrow=classic
288,Multiple Application,endArrow=classic,231,206,endArrow=classic
289,Artifact,endArrow=classic,231,204,endArrow=classic
290,Type,endArrow=classic,231,202,endArrow=classic
291,New Code,endArrow=classic,232,208,endArrow=classic
292,,endArrow=classic,233,229,endArrow=classic
293,,endArrow=classic,233,232,endArrow=classic
294,Dataset Instance,endArrow=classic,233,203,endArrow=classic
295,App,endArrow=classic,233,201,endArrow=classic
296,Type,endArrow=classic,233,202,endArrow=classic
297,,endArrow=classic,234,229,endArrow=classic
298,App,endArrow=classic,234,201,endArrow=classic
299,,endArrow=classic,236,235,endArrow=classic
300,Version Conflict\nError,endArrow=classic,236,209,endArrow=classic
301,App,endArrow=classic,236,201,endArrow=classic
