id,value,style,source,target,type
200,Dataset Type,shape=partialRectangle,null,null,data_base
201,Type,shape=partialRectangle,null,null,data_base
202,App,shape=partialRectangle,null,null,data_base
203,App Developer,rounded=0,null,null,external_entity
204,Include The Code Of A Dataset Type In App Artifact,ellipse,null,null,process
205,Create A Dataset Of That Type When Deploying The App,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Dataset Type,endArrow=classic,204,200,endArrow=classic
210,App,endArrow=classic,204,202,endArrow=classic
211,Type,endArrow=classic,205,201,endArrow=classic
212,App,endArrow=classic,205,202,endArrow=classic
