id,value,style,source,target,type
200,Group,shape=partialRectangle,null,null,data_base
201,Equipment Booking,shape=partialRectangle,null,null,data_base
202,Event,shape=partialRectangle,null,null,data_base
203,Lab Member,rounded=0,null,null,external_entity
204,View Equipment Booking,ellipse,null,null,process
205,View Events Within The Group,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Equipment Booking,endArrow=classic,204,201,endArrow=classic
210,Event,endArrow=classic,205,202,endArrow=classic
211,Group,endArrow=classic,205,200,endArrow=classic
