id,value,style,source,target,type
200,Datum,shape=partialRectangle,null,null,data_base
201,System,shape=partialRectangle,null,null,data_base
202,Share,shape=partialRectangle,null,null,data_base
203,User,rounded=0,null,null,external_entity
204,Have Only Share Datum,ellipse,null,null,process
205,Have,ellipse,null,null,process
206,Keep Data On The System,ellipse,null,null,process
208,,endArrow=classic,203,204,endArrow=classic
209,,endArrow=classic,203,205,endArrow=classic
210,,endArrow=classic,203,206,endArrow=classic
211,Datum,endArrow=classic,204,200,endArrow=classic
212,,endArrow=classic,205,206,endArrow=classic
213,Datum,endArrow=classic,206,200,endArrow=classic
214,System,endArrow=classic,206,201,endArrow=classic
215,Share,endArrow=classic,204,202,endArrow=classic
