id,value,style,source,target,type
200,App,shape=partialRectangle,null,null,data_base
201,Feedback,shape=partialRectangle,null,null,data_base
202,Customer,shape=partialRectangle,null,null,data_base
203,Easy Way,shape=partialRectangle,null,null,data_base
204,Developer,rounded=0,null,null,external_entity
205,Provide Feedback About App,ellipse,null,null,process
206,Enable Customers,ellipse,null,null,process
207,Watch This Feedback,ellipse,null,null,process
208,Need An Easy Way,ellipse,null,null,process
210,,endArrow=classic,204,205,endArrow=classic
211,,endArrow=classic,204,206,endArrow=classic
212,,endArrow=classic,204,207,endArrow=classic
213,,endArrow=classic,204,208,endArrow=classic
214,Feedback,endArrow=classic,205,201,endArrow=classic
215,App,endArrow=classic,205,200,endArrow=classic
216,,endArrow=classic,206,205,endArrow=classic
217,,endArrow=classic,206,208,endArrow=classic
218,Customer,endArrow=classic,206,202,endArrow=classic
219,Feedback,endArrow=classic,207,201,endArrow=classic
220,,endArrow=classic,208,207,endArrow=classic
221,Easy Way,endArrow=classic,208,203,endArrow=classic
