id,value,style,source,target,type
33,Deal with their details.,ellipse,null,null,process
200,App,shape=partialRectangle,null,null,data_base
201,"Possible ,\nPeople",shape=partialRectangle,null,null,data_base
202,Market Place,shape=partialRectangle,null,null,data_base
203,Customer,shape=partialRectangle,null,null,data_base
204,Feedback,shape=partialRectangle,null,null,data_base
205,Easy Way,shape=partialRectangle,null,null,data_base
206,Api,shape=partialRectangle,null,null,data_base
207,Apps Development\nSupport,shape=partialRectangle,null,null,data_base
208,Way,shape=partialRectangle,null,null,data_base
209,Access,shape=partialRectangle,null,null,data_base
210,High Level,shape=partialRectangle,null,null,data_base
211,Goal,shape=partialRectangle,null,null,data_base
212,Work,shape=partialRectangle,null,null,data_base
213,Accounting,shape=partialRectangle,null,null,data_base
214,Clear,shape=partialRectangle,null,null,data_base
215,Pricing Modality,shape=partialRectangle,null,null,data_base
216,Fee,shape=partialRectangle,null,null,data_base
217,Platform,shape=partialRectangle,null,null,data_base
218,Detailed Information,shape=partialRectangle,null,null,data_base
219,User,shape=partialRectangle,null,null,data_base
220,Question,shape=partialRectangle,null,null,data_base
221,Datum,shape=partialRectangle,null,null,data_base
222,Apps Change,shape=partialRectangle,null,null,data_base
223,Operating System\nFeature,shape=partialRectangle,null,null,data_base
224,Health Sensor,shape=partialRectangle,null,null,data_base
225,Alfred,shape=partialRectangle,null,null,data_base
226,Developer,rounded=0,null,null,external_entity
227,"Present App To As Possible, Many People",ellipse,null,null,process
228,Create Apps Within The Market Place,ellipse,null,null,process
229,Maintain Apps Within The Market Place,ellipse,null,null,process
230,Enable Customers,ellipse,null,null,process
231,Provide Feedback About App,ellipse,null,null,process
232,Watch This Feedback,ellipse,null,null,process
233,Need An Easy Way,ellipse,null,null,process
234,Documented Have The Api,ellipse,null,null,process
235,Obtain Apps Development Support,ellipse,null,null,process
236,Possible Notified,ellipse,null,null,process
237,Present App In Several Ways,ellipse,null,null,process
238,Have App To Granted Access To Several Operating System Features,ellipse,null,null,process
239,Have,ellipse,null,null,process
240,Be On A High Level,ellipse,null,null,process
241,Provide An Easy Way,ellipse,null,null,process
242,Manage The User Settings,ellipse,null,null,process
243,Reduce The Work,ellipse,null,null,process
244,Have The Alfred Api,ellipse,null,null,process
245,Achieve Goals,ellipse,null,null,process
246,Have The Accounting As Possible Simple,ellipse,null,null,process
247,Have The Accounting Clear,ellipse,null,null,process
248,Have An Easy Way,ellipse,null,null,process
249,Manage The Pricing Modality Of Apps,ellipse,null,null,process
250,Know The Provider Of The Market Place Charges,ellipse,null,null,process
251,Using The Platform,ellipse,null,null,process
252,Know The Fees,ellipse,null,null,process
253,Have Detailed Information Happened,ellipse,null,null,process
254,Design App On Own,ellipse,null,null,process
255,"Be A, Few Rules",ellipse,null,null,process
256,Define Questions The User Ask,ellipse,null,null,process
