id,value,style,source,target,type
200,Personal Datum,shape=partialRectangle,null,null,data_base
201,Specific Permission,shape=partialRectangle,null,null,data_base
202,Alfred,shape=partialRectangle,null,null,data_base
203,Information,shape=partialRectangle,null,null,data_base
204,Visible Button,shape=partialRectangle,null,null,data_base
205,Control,shape=partialRectangle,null,null,data_base
206,Small Device,shape=partialRectangle,null,null,data_base
207,Easy,shape=partialRectangle,null,null,data_base
208,Phone,shape=partialRectangle,null,null,data_base
209,Computer,shape=partialRectangle,null,null,data_base
210,Tablet,shape=partialRectangle,null,null,data_base
211,Bracelet,shape=partialRectangle,null,null,data_base
212,Necklace,shape=partialRectangle,null,null,data_base
213,Sale,shape=partialRectangle,null,null,data_base
214,Trouble,shape=partialRectangle,null,null,data_base
215,Clear Instruction,shape=partialRectangle,null,null,data_base
216,Service,shape=partialRectangle,null,null,data_base
217,Clearly,shape=partialRectangle,null,null,data_base
218,Device,shape=partialRectangle,null,null,data_base
219,Introduction Conversation,shape=partialRectangle,null,null,data_base
220,Senior Shop,shape=partialRectangle,null,null,data_base
221,Low Price,shape=partialRectangle,null,null,data_base
222,Visual Support,shape=partialRectangle,null,null,data_base
223,Good Battery,shape=partialRectangle,null,null,data_base
224,House,shape=partialRectangle,null,null,data_base
225,Low Battery,shape=partialRectangle,null,null,data_base
226,Hearing,shape=partialRectangle,null,null,data_base
227,Visual,shape=partialRectangle,null,null,data_base
228,User,shape=partialRectangle,null,null,data_base
229,Visual Trouble,shape=partialRectangle,null,null,data_base
230,Phrase,shape=partialRectangle,null,null,data_base
231,Visual Content,shape=partialRectangle,null,null,data_base
232,Alfredo Platform,shape=partialRectangle,null,null,data_base
233,New App,shape=partialRectangle,null,null,data_base
234,Friend,shape=partialRectangle,null,null,data_base
235,Family,shape=partialRectangle,null,null,data_base
236,Video Conversation,shape=partialRectangle,null,null,data_base
237,Real Interaction,shape=partialRectangle,null,null,data_base
238,Human,shape=partialRectangle,null,null,data_base
239,Interest,shape=partialRectangle,null,null,data_base
240,Exist App,shape=partialRectangle,null,null,data_base
241,Solution,shape=partialRectangle,null,null,data_base
242,Preference,shape=partialRectangle,null,null,data_base
243,Datum,shape=partialRectangle,null,null,data_base
244,Morning,shape=partialRectangle,null,null,data_base
245,Night,shape=partialRectangle,null,null,data_base
246,Public Transport,shape=partialRectangle,null,null,data_base
247,Navigation,shape=partialRectangle,null,null,data_base
248,Explanation,shape=partialRectangle,null,null,data_base
249,Historical Sight,shape=partialRectangle,null,null,data_base
250,Touristic Walk,shape=partialRectangle,null,null,data_base
251,Cultural,shape=partialRectangle,null,null,data_base
252,Taxi,shape=partialRectangle,null,null,data_base
253,Time,shape=partialRectangle,null,null,data_base
254,Door,shape=partialRectangle,null,null,data_base
255,Light,shape=partialRectangle,null,null,data_base
256,Heating,shape=partialRectangle,null,null,data_base
257,Tv,shape=partialRectangle,null,null,data_base
258,Radio,shape=partialRectangle,null,null,data_base
259,Movie,shape=partialRectangle,null,null,data_base
260,News,shape=partialRectangle,null,null,data_base
261,Emergency,shape=partialRectangle,null,null,data_base
262,Help,shape=partialRectangle,null,null,data_base
263,Nearest Caregiver,shape=partialRectangle,null,null,data_base
264,Urgent Help,shape=partialRectangle,null,null,data_base
265,Message,shape=partialRectangle,null,null,data_base
266,Pill,shape=partialRectangle,null,null,data_base
267,Grocery Shopping,shape=partialRectangle,null,null,data_base
268,Fall,shape=partialRectangle,null,null,data_base
269,Specific Contact,shape=partialRectangle,null,null,data_base
270,Healthy Recipe,shape=partialRectangle,null,null,data_base
271,Day,shape=partialRectangle,null,null,data_base
272,Spontaneous Question,shape=partialRectangle,null,null,data_base
273,Exhibition,shape=partialRectangle,null,null,data_base
274,Cinema,shape=partialRectangle,null,null,data_base
275,Domain,shape=partialRectangle,null,null,data_base
276,Question,shape=partialRectangle,null,null,data_base
277,Specific Button,shape=partialRectangle,null,null,data_base
278,Agenda,shape=partialRectangle,null,null,data_base
279,Speech,shape=partialRectangle,null,null,data_base
280,Meeting,shape=partialRectangle,null,null,data_base
281,Appointment,shape=partialRectangle,null,null,data_base
282,Reminder,shape=partialRectangle,null,null,data_base
283,Thing,shape=partialRectangle,null,null,data_base
284,Similar Disease,shape=partialRectangle,null,null,data_base
285,People,shape=partialRectangle,null,null,data_base
