id,value,style,source,target,type
200,Control,shape=partialRectangle,null,null,data_base
201,Function,shape=partialRectangle,null,null,data_base
202,User Experience,shape=partialRectangle,null,null,data_base
203,", Games Developer",rounded=0,null,null,external_entity
204,Take Control Over Some Functions,ellipse,null,null,process
205,Provide The Desired User Experience,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,,endArrow=classic,204,205,endArrow=classic
210,Control,endArrow=classic,204,200,endArrow=classic
211,Function,endArrow=classic,204,201,endArrow=classic
212,User Experience,endArrow=classic,205,202,endArrow=classic
