id,value,style,source,target,type
41,Find their class on on one page.,ellipse,null,null,process
42,Code with my friends.,ellipse,null,null,process
43,Reserve my spot.,ellipse,null,null,process
44,Help me get to the location.,ellipse,null,null,process
45,Determine the right level of sponsorship for my organization.,ellipse,null,null,process
46,Post my job listing on the badcamp site.,ellipse,null,null,process
47,Go!.,ellipse,null,null,process
48,Register for the camp and get an account on the website.,ellipse,null,null,process
200,Sponsor,shape=partialRectangle,null,null,data_base
201,Dedicated Page,shape=partialRectangle,null,null,data_base
202,Class,shape=partialRectangle,null,null,data_base
203,Location,shape=partialRectangle,null,null,data_base
204,View,shape=partialRectangle,null,null,data_base
205,Offering,shape=partialRectangle,null,null,data_base
206,Trainer,shape=partialRectangle,null,null,data_base
207,Title,shape=partialRectangle,null,null,data_base
208,Datetime,shape=partialRectangle,null,null,data_base
209,Follow Information,shape=partialRectangle,null,null,data_base
210,Skill Level,shape=partialRectangle,null,null,data_base
211,Registration,shape=partialRectangle,null,null,data_base
212,Logo,shape=partialRectangle,null,null,data_base
213,Day Level,shape=partialRectangle,null,null,data_base
214,Link,shape=partialRectangle,null,null,data_base
215,Training,shape=partialRectangle,null,null,data_base
216,Day Register,shape=partialRectangle,null,null,data_base
217,Remain Registration,shape=partialRectangle,null,null,data_base
218,Short Summary,shape=partialRectangle,null,null,data_base
219,Intro Section,shape=partialRectangle,null,null,data_base
220,Page,shape=partialRectangle,null,null,data_base
221,Code Lounge,shape=partialRectangle,null,null,data_base
222,Company,shape=partialRectangle,null,null,data_base
223,Attendee,shape=partialRectangle,null,null,data_base
224,Session,shape=partialRectangle,null,null,data_base
225,Summit,shape=partialRectangle,null,null,data_base
226,Event,shape=partialRectangle,null,null,data_base
227,Blog,shape=partialRectangle,null,null,data_base
228,Seat,shape=partialRectangle,null,null,data_base
229,Specific Detail,shape=partialRectangle,null,null,data_base
230,Sponsorship Person,shape=partialRectangle,null,null,data_base
231,Job,shape=partialRectangle,null,null,data_base
232,Schedule,shape=partialRectangle,null,null,data_base
233,Badcamp,shape=partialRectangle,null,null,data_base
234,Menu,shape=partialRectangle,null,null,data_base
235,Notification,shape=partialRectangle,null,null,data_base
236,User Profile,shape=partialRectangle,null,null,data_base
237,Venue Detail,shape=partialRectangle,null,null,data_base
