id,value,style,source,target,type
200,Training Node,shape=partialRectangle,null,null,data_base
201,Class Attendance,shape=partialRectangle,null,null,data_base
202,View,shape=partialRectangle,null,null,data_base
203,Information Attendee\nTrainer,shape=partialRectangle,null,null,data_base
204,Trainer,rounded=0,null,null,external_entity
205,Have A View Attached To Training Node Shows All Information Attendee Trainers See All Class Attendance First,ellipse,null,null,process
207,,endArrow=classic,204,205,endArrow=classic
208,View,endArrow=classic,205,202,endArrow=classic
209,Training Node,endArrow=classic,205,200,endArrow=classic
210,Information Attendee\nTrainer,endArrow=classic,205,203,endArrow=classic
211,Class Attendance,endArrow=classic,205,201,endArrow=classic
