id,value,style,source,target,type
200,Early Stage,shape=partialRectangle,null,null,data_base
201,Information,shape=partialRectangle,null,null,data_base
202,Datum,shape=partialRectangle,null,null,data_base
203,Archive,rounded=0,null,null,external_entity
204,Get Information About The Volume Of Data,ellipse,null,null,process
205,Preserve At An Early Stage,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,,endArrow=classic,204,205,endArrow=classic
210,Information,endArrow=classic,204,201,endArrow=classic
211,Datum,endArrow=classic,204,202,endArrow=classic
212,Early Stage,endArrow=classic,205,200,endArrow=classic
