id,value,style,source,target,type
200,Datum,shape=partialRectangle,null,null,data_base
201,Advance,shape=partialRectangle,null,null,data_base
202,Conservation Period,shape=partialRectangle,null,null,data_base
203,Information,shape=partialRectangle,null,null,data_base
204,File Format,shape=partialRectangle,null,null,data_base
205,Archivemanager,rounded=0,null,null,external_entity
206,Know The Legal Status Of Data,ellipse,null,null,process
207,Know In Advance The Conservation Period Of Data,ellipse,null,null,process
208,Reuse The Information Regarding File Format,ellipse,null,null,process
209,Associated To Data,ellipse,null,null,process
211,,endArrow=classic,205,206,endArrow=classic
212,,endArrow=classic,205,207,endArrow=classic
213,,endArrow=classic,205,208,endArrow=classic
214,,endArrow=classic,205,209,endArrow=classic
215,Datum,endArrow=classic,206,200,endArrow=classic
216,Advance,endArrow=classic,207,201,endArrow=classic
217,Conservation Period,endArrow=classic,207,202,endArrow=classic
218,Datum,endArrow=classic,207,200,endArrow=classic
219,Information,endArrow=classic,208,203,endArrow=classic
220,File Format,endArrow=classic,208,204,endArrow=classic
221,Datum,endArrow=classic,209,200,endArrow=classic
