id,value,style,source,target,type
21,Determine what basic support services and functionalities are required.,ellipse,null,null,process
22,Use the data.,ellipse,null,null,process
23,Determine whether and how the data has to be stored.,ellipse,null,null,process
24,Check whether the data can be kept secure.,ellipse,null,null,process
25,Share data manager posts.,ellipse,null,null,process
26,Share data manager posts.,ellipse,null,null,process
27,Share data manager posts.,ellipse,null,null,process
200,Datum,shape=partialRectangle,null,null,data_base
201,Description,shape=partialRectangle,null,null,data_base
202,Project Lifecycle,shape=partialRectangle,null,null,data_base
203,Kind,shape=partialRectangle,null,null,data_base
204,Type,shape=partialRectangle,null,null,data_base
205,Necessary Right,shape=partialRectangle,null,null,data_base
206,Time Plan,shape=partialRectangle,null,null,data_base
207,Documentation,shape=partialRectangle,null,null,data_base
208,Reference,shape=partialRectangle,null,null,data_base
209,Creation Process,shape=partialRectangle,null,null,data_base
210,Collect Datum,shape=partialRectangle,null,null,data_base
211,Institution,shape=partialRectangle,null,null,data_base
212,Information,shape=partialRectangle,null,null,data_base
213,Format,shape=partialRectangle,null,null,data_base
214,Technology,shape=partialRectangle,null,null,data_base
215,Software,shape=partialRectangle,null,null,data_base
216,Department,shape=partialRectangle,null,null,data_base
217,Section,shape=partialRectangle,null,null,data_base
218,Researcher,shape=partialRectangle,null,null,data_base
219,Role,shape=partialRectangle,null,null,data_base
220,Responsibility,shape=partialRectangle,null,null,data_base
221,Dmp,shape=partialRectangle,null,null,data_base
222,Security Requirement,shape=partialRectangle,null,null,data_base
223,Data Manager,rounded=0,null,null,external_entity
224,Researcher,rounded=0,null,null,external_entity
225,Know,ellipse,null,null,process
226,Update Throughout The Project Lifecycle,ellipse,null,null,process
227,Have The Description Of Collected Sets,ellipse,null,null,process
228,Have The Description Of Collected Data Sets Used,ellipse,null,null,process
229,Document All Necessary Rights,ellipse,null,null,process
230,Managing The Data,ellipse,null,null,process
231,Know The Time Plan,ellipse,null,null,process
232,Collecting Data,ellipse,null,null,process
233,Have References To Documentation Of Creation Process,ellipse,null,null,process
234,Have References To Documentation Of The Data,ellipse,null,null,process
235,Know Which Information Necessary,ellipse,null,null,process
236,Use,ellipse,null,null,process
237,Know Which Software The Data Produced,ellipse,null,null,process
238,Know Technology Produced,ellipse,null,null,process
239,Know The Security Requirements Of The Data,ellipse,null,null,process
240,See The Sections,ellipse,null,null,process
241,Costing By Other Researchers In Department,ellipse,null,null,process
242,Using The Data,ellipse,null,null,process
243,Clarify The Necessary Rights,ellipse,null,null,process
244,Plan The Anonymization Of Data,ellipse,null,null,process
246,,endArrow=classic,223,226,endArrow=classic
247,,endArrow=classic,223,227,endArrow=classic
248,,endArrow=classic,223,228,endArrow=classic
249,,endArrow=classic,223,229,endArrow=classic
250,,endArrow=classic,223,230,endArrow=classic
251,,endArrow=classic,223,231,endArrow=classic
252,,endArrow=classic,223,232,endArrow=classic
253,,endArrow=classic,223,233,endArrow=classic
254,,endArrow=classic,223,234,endArrow=classic
255,,endArrow=classic,223,235,endArrow=classic
256,,endArrow=classic,223,237,endArrow=classic
257,,endArrow=classic,223,238,endArrow=classic
258,,endArrow=classic,223,239,endArrow=classic
259,,endArrow=classic,223,242,endArrow=classic
260,,endArrow=classic,223,243,endArrow=classic
261,,endArrow=classic,223,244,endArrow=classic
262,,endArrow=classic,224,240,endArrow=classic
263,,endArrow=classic,224,241,endArrow=classic
264,,endArrow=classic,225,236,endArrow=classic
265,Project Lifecycle,endArrow=classic,226,202,endArrow=classic
266,,endArrow=classic,227,226,endArrow=classic
267,Description,endArrow=classic,227,201,endArrow=classic
268,Description,endArrow=classic,228,201,endArrow=classic
269,Datum,endArrow=classic,228,200,endArrow=classic
270,Necessary Right,endArrow=classic,229,205,endArrow=classic
271,,endArrow=classic,230,229,endArrow=classic
272,Datum,endArrow=classic,230,200,endArrow=classic
273,Time Plan,endArrow=classic,231,206,endArrow=classic
274,,endArrow=classic,232,231,endArrow=classic
275,Datum,endArrow=classic,232,200,endArrow=classic
276,Creation Process,endArrow=classic,233,209,endArrow=classic
277,Documentation,endArrow=classic,233,207,endArrow=classic
278,Reference,endArrow=classic,233,208,endArrow=classic
279,Reference,endArrow=classic,234,208,endArrow=classic
280,Documentation,endArrow=classic,234,207,endArrow=classic
