id,value,style,source,target,type
200,Section,shape=partialRectangle,null,null,data_base
201,Costing,shape=partialRectangle,null,null,data_base
202,Role,shape=partialRectangle,null,null,data_base
203,Responsibility,shape=partialRectangle,null,null,data_base
204,"Faculty , Data Steward",rounded=0,null,null,external_entity
205,See The Sections On Costing,ellipse,null,null,process
207,,endArrow=classic,204,205,endArrow=classic
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,205,endArrow=classic
210,Section,endArrow=classic,205,200,endArrow=classic
211,Costing,endArrow=classic,205,201,endArrow=classic
212,Role,endArrow=classic,205,202,endArrow=classic
213,Responsibility,endArrow=classic,205,203,endArrow=classic
