id,value,style,source,target,type
200,Detail,shape=partialRectangle,null,null,data_base
201,Datum,shape=partialRectangle,null,null,data_base
202,Metadata,shape=partialRectangle,null,null,data_base
203,Additional Language,shape=partialRectangle,null,null,data_base
204,Repository Manager,rounded=0,null,null,external_entity
205,Provided With Details On The Type Of Data,ellipse,null,null,process
206,Have Metadata In Additional Languages,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,Detail,endArrow=classic,205,200,endArrow=classic
211,Datum,endArrow=classic,205,201,endArrow=classic
212,Metadata,endArrow=classic,206,202,endArrow=classic
213,Additional Language,endArrow=classic,206,203,endArrow=classic
