id,value,style,source,target,type
200,User,shape=partialRectangle,null,null,data_base
201,Password,shape=partialRectangle,null,null,data_base
202,Appropriate Permission,shape=partialRectangle,null,null,data_base
203,Topic,shape=partialRectangle,null,null,data_base
204,"Center ,\nUrl ,\nHelp Mapping",shape=partialRectangle,null,null,data_base
205,Data Entry,shape=partialRectangle,null,null,data_base
206,Application Administrator,rounded=0,null,null,external_entity
207,Reset A User's Password For A User's Password,ellipse,null,null,process
208,Assign Users To An Advanced Data Entry,ellipse,null,null,process
209,Ensure,ellipse,null,null,process
210,Configure Topic,ellipse,null,null,process
211,"Configure The Center, Url, Help Mappings",ellipse,null,null,process
213,,endArrow=classic,206,207,endArrow=classic
214,,endArrow=classic,206,208,endArrow=classic
215,,endArrow=classic,206,210,endArrow=classic
216,,endArrow=classic,206,211,endArrow=classic
217,Password,endArrow=classic,207,201,endArrow=classic
218,Data Entry,endArrow=classic,208,205,endArrow=classic
219,User,endArrow=classic,208,200,endArrow=classic
220,Topic,endArrow=classic,210,203,endArrow=classic
221,"Center ,\nUrl ,\nHelp Mapping",endArrow=classic,211,204,endArrow=classic
