id,value,style,source,target,type
200,Application,shape=partialRectangle,null,null,data_base
201,Configuration,shape=partialRectangle,null,null,data_base
202,Custom Importer,shape=partialRectangle,null,null,data_base
203,Developer,rounded=0,null,null,external_entity
204,Use A Configuration Not Prepackaged Within A Built Version Of Application,ellipse,null,null,process
205,Develop A Custom Importer,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Configuration,endArrow=classic,204,201,endArrow=classic
210,Application,endArrow=classic,204,200,endArrow=classic
211,Custom Importer,endArrow=classic,205,202,endArrow=classic
