id,value,style,source,target,type
200,Resource Component,shape=partialRectangle,null,null,data_base
201,Description,shape=partialRectangle,null,null,data_base
202,Value,shape=partialRectangle,null,null,data_base
203,Level,shape=partialRectangle,null,null,data_base
204,Resource,shape=partialRectangle,null,null,data_base
205,Archivist,rounded=0,null,null,external_entity
206,Specify Another Value,ellipse,null,null,process
207,Assign A Level Of Description To A Resource Component,ellipse,null,null,process
208,Assign A Level Of Description To Resource,ellipse,null,null,process
210,,endArrow=classic,205,207,endArrow=classic
211,,endArrow=classic,205,208,endArrow=classic
212,Value,endArrow=classic,206,202,endArrow=classic
213,Level,endArrow=classic,207,203,endArrow=classic
214,Description,endArrow=classic,207,201,endArrow=classic
215,Resource Component,endArrow=classic,207,200,endArrow=classic
216,Resource,endArrow=classic,208,204,endArrow=classic
217,Description,endArrow=classic,208,201,endArrow=classic
218,Level,endArrow=classic,208,203,endArrow=classic
