id,value,style,source,target,type
200,Article,shape=partialRectangle,null,null,data_base
201,Underlie Dataset,shape=partialRectangle,null,null,data_base
202,Persistent Link,shape=partialRectangle,null,null,data_base
203,Web Link,shape=partialRectangle,null,null,data_base
204,Academicpublisher,rounded=0,null,null,external_entity
205,Make Persistent Links Between Underlying Dataset,ellipse,null,null,process
206,Make Persistent Web Links Between Articles,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,Persistent Link,endArrow=classic,205,202,endArrow=classic
211,Underlie Dataset,endArrow=classic,205,201,endArrow=classic
212,Web Link,endArrow=classic,206,203,endArrow=classic
213,Article,endArrow=classic,206,200,endArrow=classic
