id,value,style,source,target,type
30,Fulfil my confidentiality responsibilities.,ellipse,null,null,process
31,Receive credit.,ellipse,null,null,process
32,Demonstrate the impact of my work.,ellipse,null,null,process
33,Demonstrate the impact of my work,ellipse,null,null,process
34,Fulfil funder requirements for archival.,ellipse,null,null,process
35,Find my data more easily.,ellipse,null,null,process
200,Dataset,shape=partialRectangle,null,null,data_base
201,User Interface,shape=partialRectangle,null,null,data_base
202,File,shape=partialRectangle,null,null,data_base
203,Datum,shape=partialRectangle,null,null,data_base
204,Embargo,shape=partialRectangle,null,null,data_base
205,License,shape=partialRectangle,null,null,data_base
206,Collaborator,shape=partialRectangle,null,null,data_base
207,Access,shape=partialRectangle,null,null,data_base
208,Large File,shape=partialRectangle,null,null,data_base
209,Opus,shape=partialRectangle,null,null,data_base
210,Publication,shape=partialRectangle,null,null,data_base
211,Doi,shape=partialRectangle,null,null,data_base
212,Previous Deposit,shape=partialRectangle,null,null,data_base
213,Metadata,shape=partialRectangle,null,null,data_base
214,External Repository,shape=partialRectangle,null,null,data_base
215,Disposal Policy,shape=partialRectangle,null,null,data_base
216,Data Integrity,shape=partialRectangle,null,null,data_base
217,Guarantee,shape=partialRectangle,null,null,data_base
218,Record,shape=partialRectangle,null,null,data_base
219,Dataset,shape=partialRectangle,null,null,data_base
220,Behalf,shape=partialRectangle,null,null,data_base
221,Web Interface,shape=partialRectangle,null,null,data_base
222,Workflow Tool,shape=partialRectangle,null,null,data_base
223,Research Environment,shape=partialRectangle,null,null,data_base
224,University System,shape=partialRectangle,null,null,data_base
225,Project Dmp,shape=partialRectangle,null,null,data_base
226,Discoverability,shape=partialRectangle,null,null,data_base
227,Research,shape=partialRectangle,null,null,data_base
228,Depositor,rounded=0,null,null,external_entity
229,Deposit Datasets Through A Simple Web Interface,ellipse,null,null,process
230,Maintain Datasets Through A Simple Web Interface,ellipse,null,null,process
231,Have A User Interface Is Familiar To,ellipse,null,null,process
232,Pure Deposit Datasets,ellipse,null,null,process
233,Pure Maintain Datasets,ellipse,null,null,process
