id,value,style,source,target,type
200,Api,shape=partialRectangle,null,null,data_base
201,Dataset,shape=partialRectangle,null,null,data_base
202,Sword2,shape=partialRectangle,null,null,data_base
203,Developer,rounded=0,null,null,external_entity
204,Deposit Datasets Via An Api Such As Sword2,ellipse,null,null,process
205,Maintain Datasets Via An Api Such As Sword2,ellipse,null,null,process
207,,endArrow=classic,203,204,endArrow=classic
208,,endArrow=classic,203,205,endArrow=classic
209,Dataset,endArrow=classic,204,201,endArrow=classic
210,Api,endArrow=classic,204,200,endArrow=classic
211,Sword2,endArrow=classic,204,202,endArrow=classic
212,Api,endArrow=classic,205,200,endArrow=classic
213,Dataset,endArrow=classic,205,201,endArrow=classic
214,Sword2,endArrow=classic,205,202,endArrow=classic
