id,value,style,source,target,type
200,Researcher,shape=partialRectangle,null,null,data_base
201,Facility,shape=partialRectangle,null,null,data_base
202,Datum,shape=partialRectangle,null,null,data_base
203,Archive,shape=partialRectangle,null,null,data_base
204,"Research , Facility Manager",rounded=0,null,null,external_entity
205,Deposit Data From Facility Directly Into The Archive On Behalf Of Researchers,ellipse,null,null,process
207,,endArrow=classic,204,205,endArrow=classic
208,Datum,endArrow=classic,205,202,endArrow=classic
209,Facility,endArrow=classic,205,201,endArrow=classic
210,Archive,endArrow=classic,205,203,endArrow=classic
211,Researcher,endArrow=classic,205,200,endArrow=classic
