id,value,style,source,target,type
200,Appropriate Relationship,shape=partialRectangle,null,null,data_base
201,Formal Collection,shape=partialRectangle,null,null,data_base
202,Dam,shape=partialRectangle,null,null,data_base
203,Repository,shape=partialRectangle,null,null,data_base
204,Object,shape=partialRectangle,null,null,data_base
205,Assigned Order,shape=partialRectangle,null,null,data_base
206,Aspect,shape=partialRectangle,null,null,data_base
207,Obsolescence,shape=partialRectangle,null,null,data_base
208,Integrity,shape=partialRectangle,null,null,data_base
209,Format Version,shape=partialRectangle,null,null,data_base
210,Useful File,shape=partialRectangle,null,null,data_base
211,Manager,shape=partialRectangle,null,null,data_base
212,Checksum,shape=partialRectangle,null,null,data_base
213,Checksum Method,shape=partialRectangle,null,null,data_base
214,File,shape=partialRectangle,null,null,data_base
215,Source Capture\nInformation,shape=partialRectangle,null,null,data_base
216,Preservation Managers,shape=partialRectangle,null,null,data_base
217,Authenticity,shape=partialRectangle,null,null,data_base
218,Question,shape=partialRectangle,null,null,data_base
219,Object Component,shape=partialRectangle,null,null,data_base
220,Collection,shape=partialRectangle,null,null,data_base
221,Title,shape=partialRectangle,null,null,data_base
222,Register,shape=partialRectangle,null,null,data_base
223,Risk,shape=partialRectangle,null,null,data_base
224,License,shape=partialRectangle,null,null,data_base
225,Copyright,shape=partialRectangle,null,null,data_base
226,Status,shape=partialRectangle,null,null,data_base
227,Pertinent Statute,shape=partialRectangle,null,null,data_base
228,Statute,shape=partialRectangle,null,null,data_base
229,Pertinence,shape=partialRectangle,null,null,data_base
230,Application,shape=partialRectangle,null,null,data_base
231,Applicable License,shape=partialRectangle,null,null,data_base
232,Copyright Content,shape=partialRectangle,null,null,data_base
233,Way,shape=partialRectangle,null,null,data_base
234,Access,shape=partialRectangle,null,null,data_base
235,Policy,shape=partialRectangle,null,null,data_base
236,Use,shape=partialRectangle,null,null,data_base
237,Permission,shape=partialRectangle,null,null,data_base
238,Date,shape=partialRectangle,null,null,data_base
239,Restriction,shape=partialRectangle,null,null,data_base
240,Active Date,shape=partialRectangle,null,null,data_base
241,Permit Act,shape=partialRectangle,null,null,data_base
242,Record,shape=partialRectangle,null,null,data_base
243,Event,shape=partialRectangle,null,null,data_base
244,Master,shape=partialRectangle,null,null,data_base
245,Creation,shape=partialRectangle,null,null,data_base
246,Preservation,shape=partialRectangle,null,null,data_base
247,Library,shape=partialRectangle,null,null,data_base
