id,value,style,source,target,type
200,Checksum,shape=partialRectangle,null,null,data_base
201,Preservation Manager,shape=partialRectangle,null,null,data_base
202,Register,shape=partialRectangle,null,null,data_base
203,File,shape=partialRectangle,null,null,data_base
204,Dams Manager,rounded=0,null,null,external_entity
205,Know Via The Preservation Manager Of All Files For Which The Checksum Has Changed Since Last Registered,ellipse,null,null,process
207,,endArrow=classic,204,205,endArrow=classic
208,Preservation Manager,endArrow=classic,205,201,endArrow=classic
209,File,endArrow=classic,205,203,endArrow=classic
210,Checksum,endArrow=classic,205,200,endArrow=classic
211,Register,endArrow=classic,205,202,endArrow=classic
