id,value,style,source,target,type
200,Collection,shape=partialRectangle,null,null,data_base
201,Dam,shape=partialRectangle,null,null,data_base
202,Object,shape=partialRectangle,null,null,data_base
203,Place,shape=partialRectangle,null,null,data_base
204,Relevant Place,shape=partialRectangle,null,null,data_base
205,Curatorial Access,shape=partialRectangle,null,null,data_base
206,Unit,shape=partialRectangle,null,null,data_base
207,Singular Provenance,shape=partialRectangle,null,null,data_base
208,Assembly,shape=partialRectangle,null,null,data_base
209,Provenance,shape=partialRectangle,null,null,data_base
210,Title,shape=partialRectangle,null,null,data_base
211,Source,shape=partialRectangle,null,null,data_base
212,Name,shape=partialRectangle,null,null,data_base
213,Subject,shape=partialRectangle,null,null,data_base
214,Creator,shape=partialRectangle,null,null,data_base
215,Probable Importance,shape=partialRectangle,null,null,data_base
216,User,shape=partialRectangle,null,null,data_base
217,Event,shape=partialRectangle,null,null,data_base
218,Component,shape=partialRectangle,null,null,data_base
219,File,shape=partialRectangle,null,null,data_base
220,Aspect,shape=partialRectangle,null,null,data_base
221,Pertinent Statute,shape=partialRectangle,null,null,data_base
222,License,shape=partialRectangle,null,null,data_base
223,"Pertinent ,\nRight",shape=partialRectangle,null,null,data_base
224,Description,shape=partialRectangle,null,null,data_base
225,Life Cycle,shape=partialRectangle,null,null,data_base
226,Logical,shape=partialRectangle,null,null,data_base
227,Appropriate Order,shape=partialRectangle,null,null,data_base
228,"Different ,\nCopyright Status",shape=partialRectangle,null,null,data_base
229,"Pertain ,\nRight",shape=partialRectangle,null,null,data_base
230,Repository,shape=partialRectangle,null,null,data_base
231,Object Component,shape=partialRectangle,null,null,data_base
232,Useful Form,shape=partialRectangle,null,null,data_base
233,Change,shape=partialRectangle,null,null,data_base
234,Edition,shape=partialRectangle,null,null,data_base
235,.,shape=partialRectangle,null,null,data_base
236,Publisher,shape=partialRectangle,null,null,data_base
237,Publication,shape=partialRectangle,null,null,data_base
238,Origin Info,shape=partialRectangle,null,null,data_base
239,Collection Component,shape=partialRectangle,null,null,data_base
240,Title Entity,shape=partialRectangle,null,null,data_base
241,Date,shape=partialRectangle,null,null,data_base
242,Modification,shape=partialRectangle,null,null,data_base
243,Note,shape=partialRectangle,null,null,data_base
244,Unique Identity,shape=partialRectangle,null,null,data_base
245,Record,shape=partialRectangle,null,null,data_base
246,Pertinent Name,shape=partialRectangle,null,null,data_base
247,Etc,shape=partialRectangle,null,null,data_base
248,Specific Role,shape=partialRectangle,null,null,data_base
249,Illustrator,shape=partialRectangle,null,null,data_base
250,Photographer,shape=partialRectangle,null,null,data_base
251,Resource,shape=partialRectangle,null,null,data_base
252,Software,shape=partialRectangle,null,null,data_base
253,Hardware,shape=partialRectangle,null,null,data_base
254,Content,shape=partialRectangle,null,null,data_base
255,End,shape=partialRectangle,null,null,data_base
256,Repository Manager,rounded=0,null,null,external_entity
257,Know Object,ellipse,null,null,process
258,Know The Collections In The Dams,ellipse,null,null,process
259,Update Repository Information In Place,ellipse,null,null,process
260,Propagated To All Relevant Places,ellipse,null,null,process
261,Constrain Curatorial Access To Units,ellipse,null,null,process
262,Represent A Part Of A Collection,ellipse,null,null,process
263,Compose Collections,ellipse,null,null,process
264,Compose Collections Limiting The Collection To,ellipse,null,null,process
265,Limit The Collection,ellipse,null,null,process
266,Share The Same Provenance,ellipse,null,null,process
267,Related To Another Collection,ellipse,null,null,process
268,Say,ellipse,null,null,process
269,Describe A Collection Including Title,ellipse,null,null,process
270,Indicate Names To The Collection As Creator,ellipse,null,null,process
271,Indicate Names To The Collection As Source,ellipse,null,null,process
272,Indicate Names To The Collection As Subject,ellipse,null,null,process
273,Indicate Subjects To The Collection,ellipse,null,null,process
274,Indicate Other Descriptions Of The Collection Are Of Probable Importance To Users,ellipse,null,null,process
