id,value,style,source,target,type
200,Dam,shape=partialRectangle,null,null,data_base
201,Object,shape=partialRectangle,null,null,data_base
202,Library Unit,shape=partialRectangle,null,null,data_base
203,Collection,shape=partialRectangle,null,null,data_base
204,Repository,shape=partialRectangle,null,null,data_base
205,Search,shape=partialRectangle,null,null,data_base
206,Description,shape=partialRectangle,null,null,data_base
207,Probable Importance,shape=partialRectangle,null,null,data_base
208,User,shape=partialRectangle,null,null,data_base
209,Access,shape=partialRectangle,null,null,data_base
210,Rights Status,shape=partialRectangle,null,null,data_base
211,Use,shape=partialRectangle,null,null,data_base
212,Metadata,shape=partialRectangle,null,null,data_base
213,Component Hierarchy,shape=partialRectangle,null,null,data_base
214,Object Component,shape=partialRectangle,null,null,data_base
215,Title,shape=partialRectangle,null,null,data_base
216,Publication,shape=partialRectangle,null,null,data_base
217,Place,shape=partialRectangle,null,null,data_base
218,Etc Publisher,shape=partialRectangle,null,null,data_base
219,Collection Component,shape=partialRectangle,null,null,data_base
220,Scope,shape=partialRectangle,null,null,data_base
221,Condition,shape=partialRectangle,null,null,data_base
222,Identifier,shape=partialRectangle,null,null,data_base
223,Etc,shape=partialRectangle,null,null,data_base
224,Content,shape=partialRectangle,null,null,data_base
225,Specific Language,shape=partialRectangle,null,null,data_base
226,Name,shape=partialRectangle,null,null,data_base
227,Specific Role,shape=partialRectangle,null,null,data_base
228,Photographer,shape=partialRectangle,null,null,data_base
229,Illustrator,shape=partialRectangle,null,null,data_base
230,Geographical Etc,shape=partialRectangle,null,null,data_base
231,Topic,shape=partialRectangle,null,null,data_base
232,Form,shape=partialRectangle,null,null,data_base
233,", Pertinent\nHeading",shape=partialRectangle,null,null,data_base
234,Genre,shape=partialRectangle,null,null,data_base
235,Geographical Function,shape=partialRectangle,null,null,data_base
236,Function,shape=partialRectangle,null,null,data_base
237,Geographical Name,shape=partialRectangle,null,null,data_base
238,Occupation,shape=partialRectangle,null,null,data_base
239,Geographical Cartographic,shape=partialRectangle,null,null,data_base
240,Cartographic,shape=partialRectangle,null,null,data_base
241,Geographical Occupation,shape=partialRectangle,null,null,data_base
242,Resource,shape=partialRectangle,null,null,data_base
243,Copyright,shape=partialRectangle,null,null,data_base
244,Component Part,shape=partialRectangle,null,null,data_base
245,User,rounded=0,null,null,external_entity
246,Repository Manager,rounded=0,null,null,external_entity
247,List Object,ellipse,null,null,process
248,List The Collections In The Dams Belong To A Library Unit,ellipse,null,null,process
249,Contact Repositories,ellipse,null,null,process
250,Browse By Collections In The Dams,ellipse,null,null,process
251,Specified,ellipse,null,null,process
252,Limit Search,ellipse,null,null,process
253,Indicate Any External Versions Of An Object,ellipse,null,null,process
