id,value,style,source,target,type
200,Title,shape=partialRectangle,null,null,data_base
201,Change,shape=partialRectangle,null,null,data_base
202,Object,shape=partialRectangle,null,null,data_base
203,Collection,shape=partialRectangle,null,null,data_base
204,Repository,shape=partialRectangle,null,null,data_base
205,Repository Manager,rounded=0,null,null,external_entity
206,Know Any Changes To Titles For Object Component,ellipse,null,null,process
207,Know Any Changes To Titles For Repository's Collections,ellipse,null,null,process
208,Know Any Changes To Titles For Object,ellipse,null,null,process
210,,endArrow=classic,205,206,endArrow=classic
211,,endArrow=classic,205,207,endArrow=classic
212,,endArrow=classic,205,208,endArrow=classic
213,Title,endArrow=classic,206,200,endArrow=classic
214,Change,endArrow=classic,206,201,endArrow=classic
215,Change,endArrow=classic,207,201,endArrow=classic
216,Title,endArrow=classic,207,200,endArrow=classic
217,Collection,endArrow=classic,207,203,endArrow=classic
218,Object,endArrow=classic,208,202,endArrow=classic
219,Title,endArrow=classic,208,200,endArrow=classic
220,Change,endArrow=classic,208,201,endArrow=classic
222,Repository,endArrow=classic,207,204,endArrow=classic
