id,value,style,source,target,type
11,Control user permissions.,ellipse,null,null,process
12,Group users by role.,ellipse,null,null,process
13,Hide things from display based on user groups.,ellipse,null,null,process
200,Right,shape=partialRectangle,null,null,data_base
201,Role,shape=partialRectangle,null,null,data_base
202,Rac Staff,shape=partialRectangle,null,null,data_base
203,Password,shape=partialRectangle,null,null,data_base
204,Researcher,shape=partialRectangle,null,null,data_base
205,User Group,shape=partialRectangle,null,null,data_base
206,Directory Credential,shape=partialRectangle,null,null,data_base
207,Metadata Field,shape=partialRectangle,null,null,data_base
208,User,shape=partialRectangle,null,null,data_base
209,Administrator,rounded=0,null,null,external_entity
210,Create User Groups,ellipse,null,null,process
211,Create User Roles,ellipse,null,null,process
212,Assign Rights To User Groups,ellipse,null,null,process
213,Assign Rights To Role,ellipse,null,null,process
214,Assign Rac Staff To Different User Groups,ellipse,null,null,process
215,Log,ellipse,null,null,process
216,Allow,ellipse,null,null,process
217,Using Active Directory Credentials,ellipse,null,null,process
218,Have,ellipse,null,null,process
219,Limit,ellipse,null,null,process
221,,endArrow=classic,209,210,endArrow=classic
222,,endArrow=classic,209,211,endArrow=classic
223,,endArrow=classic,209,212,endArrow=classic
224,,endArrow=classic,209,213,endArrow=classic
225,,endArrow=classic,209,214,endArrow=classic
226,,endArrow=classic,209,215,endArrow=classic
227,,endArrow=classic,209,216,endArrow=classic
228,,endArrow=classic,209,217,endArrow=classic
229,User Group,endArrow=classic,210,205,endArrow=classic
230,Role,endArrow=classic,211,201,endArrow=classic
231,Right,endArrow=classic,212,200,endArrow=classic
232,User Group,endArrow=classic,212,205,endArrow=classic
233,Role,endArrow=classic,213,201,endArrow=classic
234,Right,endArrow=classic,213,200,endArrow=classic
235,Rac Staff,endArrow=classic,214,202,endArrow=classic
236,User Group,endArrow=classic,214,205,endArrow=classic
237,,endArrow=classic,216,217,endArrow=classic
238,,endArrow=classic,217,215,endArrow=classic
239,Directory Credential,endArrow=classic,217,206,endArrow=classic
270,User,endArrow=classic,210,208,endArrow=classic
1000,,endArrow=classic,210,11,endArrow=classic
1001,User permissions,rounded=0,null,null,external_entity
1002,User permissions,endArrow=classic,11,1001,endArrow=classic
1003,,endArrow=classic,211,12,endArrow=classic
1004,Role,endArrow=classic,12,201,endArrow=classic
1005,,endArrow=classic,209,13,endArrow=classic
1006,User groups,rounded=0,null,null,external_entity
1007,User groups,endArrow=classic,13,1006,endArrow=classic
