id,value,style,source,target,type
71,Improve on results from automated tools.,ellipse,null,null,process
72,Track use of assets.,ellipse,null,null,process
73,Integrate our collections into our web presence.,ellipse,null,null,process
74,Gain background information for processing a collection.,ellipse,null,null,process
75,Assist researchers.,ellipse,null,null,process
76,Find images when i don't have any metadata.,ellipse,null,null,process
200,Right,shape=partialRectangle,null,null,data_base
201,License Statement,shape=partialRectangle,null,null,data_base
202,Individual File,shape=partialRectangle,null,null,data_base
203,File,shape=partialRectangle,null,null,data_base
204,View,shape=partialRectangle,null,null,data_base
205,Restriction,shape=partialRectangle,null,null,data_base
206,Date,shape=partialRectangle,null,null,data_base
207,Detailed Restriction,shape=partialRectangle,null,null,data_base
208,Ip Address,shape=partialRectangle,null,null,data_base
209,Access,shape=partialRectangle,null,null,data_base
210,User,shape=partialRectangle,null,null,data_base
211,Certain File,shape=partialRectangle,null,null,data_base
212,Photo,shape=partialRectangle,null,null,data_base
213,Statement,shape=partialRectangle,null,null,data_base
214,Information,shape=partialRectangle,null,null,data_base
215,Digital File,shape=partialRectangle,null,null,data_base
216,Time,shape=partialRectangle,null,null,data_base
217,Online Form,shape=partialRectangle,null,null,data_base
218,Archival Material,shape=partialRectangle,null,null,data_base
219,Single File,shape=partialRectangle,null,null,data_base
220,Technical Metadata,shape=partialRectangle,null,null,data_base
221,Digital Object,shape=partialRectangle,null,null,data_base
222,Researcher,shape=partialRectangle,null,null,data_base
223,Publication,shape=partialRectangle,null,null,data_base
224,Citation,shape=partialRectangle,null,null,data_base
225,Scan,shape=partialRectangle,null,null,data_base
226,Image,shape=partialRectangle,null,null,data_base
227,Document,shape=partialRectangle,null,null,data_base
228,Unique Identifier,shape=partialRectangle,null,null,data_base
229,Metadata,shape=partialRectangle,null,null,data_base
230,Scan File,shape=partialRectangle,null,null,data_base
231,Level,shape=partialRectangle,null,null,data_base
232,"Contrast ,\nAutomatic Operation",shape=partialRectangle,null,null,data_base
233,Manipulation,shape=partialRectangle,null,null,data_base
234,Contrast,shape=partialRectangle,null,null,data_base
235,Educational Visit,shape=partialRectangle,null,null,data_base
236,Documentation,shape=partialRectangle,null,null,data_base
237,Form,shape=partialRectangle,null,null,data_base
238,Correspondence,shape=partialRectangle,null,null,data_base
239,Donor,shape=partialRectangle,null,null,data_base
240,Available Right,shape=partialRectangle,null,null,data_base
241,Email,shape=partialRectangle,null,null,data_base
242,Specific Object,shape=partialRectangle,null,null,data_base
243,Particular User,shape=partialRectangle,null,null,data_base
244,Unprocessed Material,shape=partialRectangle,null,null,data_base
245,"Available ,\nPossible ,\nArchival ,\nMaterial",shape=partialRectangle,null,null,data_base
246,Archival Content,shape=partialRectangle,null,null,data_base
247,Rac Website,shape=partialRectangle,null,null,data_base
248,Collection,shape=partialRectangle,null,null,data_base
249,Keyword,shape=partialRectangle,null,null,data_base
250,Inventory,shape=partialRectangle,null,null,data_base
251,Tag,shape=partialRectangle,null,null,data_base
252,Drive,shape=partialRectangle,null,null,data_base
253,Black,shape=partialRectangle,null,null,data_base
254,Color,shape=partialRectangle,null,null,data_base
255,White,shape=partialRectangle,null,null,data_base
256,Photographer,shape=partialRectangle,null,null,data_base
257,People,shape=partialRectangle,null,null,data_base
258,Place,shape=partialRectangle,null,null,data_base
259,Physical Location,shape=partialRectangle,null,null,data_base
260,Visual,shape=partialRectangle,null,null,data_base
261,Rights Status,shape=partialRectangle,null,null,data_base
262,Preservation Standard,shape=partialRectangle,null,null,data_base
263,Research Request,shape=partialRectangle,null,null,data_base
264,Index Card,shape=partialRectangle,null,null,data_base
265,Finding Aid,shape=partialRectangle,null,null,data_base
266,Material Type,shape=partialRectangle,null,null,data_base
267,End,shape=partialRectangle,null,null,data_base
268,Edit,shape=partialRectangle,null,null,data_base
269,Quality,shape=partialRectangle,null,null,data_base
270,Loan,shape=partialRectangle,null,null,data_base
271,Preservation,shape=partialRectangle,null,null,data_base
