id,value,style,source,target,type
200,Incremental Accrual,shape=partialRectangle,null,null,data_base
201,New Collection,shape=partialRectangle,null,null,data_base
202,Descriptive Information,shape=partialRectangle,null,null,data_base
203,Image,shape=partialRectangle,null,null,data_base
204,Institution,shape=partialRectangle,null,null,data_base
205,Collection,shape=partialRectangle,null,null,data_base
206,Donor Representative,rounded=0,null,null,external_entity
207,Exist,ellipse,null,null,process
208,Supply Incremental Accruals To New Collections,ellipse,null,null,process
209,Supply Incremental Accruals To,ellipse,null,null,process
210,Access The Descriptive Information About The Images Institutions Needs,ellipse,null,null,process
211,Look At Images Have Scanned From Collection,ellipse,null,null,process
212,See Thumbnails Of Images,ellipse,null,null,process
214,,endArrow=classic,206,207,endArrow=classic
215,,endArrow=classic,206,208,endArrow=classic
216,,endArrow=classic,206,209,endArrow=classic
217,,endArrow=classic,206,210,endArrow=classic
218,,endArrow=classic,206,211,endArrow=classic
219,,endArrow=classic,206,212,endArrow=classic
220,Incremental Accrual,endArrow=classic,208,200,endArrow=classic
221,New Collection,endArrow=classic,208,201,endArrow=classic
222,,endArrow=classic,209,207,endArrow=classic
223,Incremental Accrual,endArrow=classic,209,200,endArrow=classic
224,Descriptive Information,endArrow=classic,210,202,endArrow=classic
225,Image,endArrow=classic,210,203,endArrow=classic
226,Institution,endArrow=classic,210,204,endArrow=classic
227,Collection,endArrow=classic,211,205,endArrow=classic
228,Image,endArrow=classic,211,203,endArrow=classic
229,Image,endArrow=classic,212,203,endArrow=classic
